12837
52 9 21	Eliana Gonzalez
45 2 10	Marie Sterling
57 8 4	Anna Lee
25 2 27	Joanne Barnes
69 8 29	Terry Wilson
71 10 0	Annie George
77 8 8	Amanda Payne
17 5 19	Raymond Townsend
16 6 12	Tracy Anderson
35 2 0	Nicholas Scott
14 9 16	Levi Green
77 5 5	Laurence Cooper
31 9 26	Felipe Thompson
42 10 27	Eugene Goodrich
68 4 16	Martha Graves
74 2 4	Brandon Humphrey
11 7 26	Doris Lanham
68 4 30	Ashley Morris
20 8 9	Collen Campbell
86 7 0	Dani Harrison
56 0 6	Clarence Gracia
55 3 2	Nicholas Scott
13 9 1	Andres Meyer
37 3 11	Howard Kelley
20 4 21	Raymond Tiller
75 8 21	Jeremy Mitchell
9 3 5	Susan Parker
55 6 28	Elvina Hill
50 1 22	Maryalice Thomas
20 7 16	Alice Perez
10 7 10	Jane Anderson
46 4 15	Diana Browne
22 8 1	Ronald McDaniel
31 9 23	Jenifer Doyle
44 5 25	Cheryl Alvarado
50 7 11	Ken Sanders
38 6 21	Susan Perkins
10 9 12	Frankie Hall
53 7 22	Vera Brown
88 8 15	Rachel Edwards
23 7 11	Jenifer Evans
78 8 21	Eloise Bryant
27 5 5	Randee Bryant
46 4 27	Jane Sullivan
76 4 18	Nancy Roberts
84 1 26	Laurence Simmons
30 11 0	Delaine Carvalho
9 9 25	Marion Wilson
60 6 0	Betty Horowitz
62 3 17	Luz Copeland
18 8 22	Julie Goodrich
55 1 0	Ramiro Morris
80 2 19	Andres Hollins
40 9 18	Lillian Medina
57 11 1	Janice Cox
47 3 26	Calvin Shuman
13 0 22	Eugenia Dennis
64 2 1	Nancy Baker
34 3 10	Richard George
26 7 7	Lindsay Sullivan
62 3 24	Terrell Huddleston
52 3 22	Natalie Vega
88 11 14	Kevin Fleming
8 10 10	Jeni Smith
75 6 6	Luz Maldonado
61 2 5	Andrea Ball
37 1 8	Charles Platt
37 0 2	Ronald Graves
37 4 17	Belinda Franklin
70 3 28	Joshua Fenton
73 6 28	Brian Powell
16 3 17	Eloise Faison
50 5 6	Donald Lamb
8 7 30	Andrea Carr
23 7 19	Jane Whitworth
19 11 13	Gerard Harrison
74 9 6	Dennis Lindsey
58 6 10	Maddie Bowling
69 5 3	Elvina Coleman
82 6 15	Joe Carr
45 4 8	Willie Padilla
64 2 14	Yuonne Main
69 4 18	Dani Morgan
76 11 11	Chris Whitworth
73 9 3	Melissa Reid
28 1 10	Clark Bell
67 8 3	Joe Reid
56 7 28	Roger Medina
39 3 2	Roger Roland
30 11 25	Lonnie Knight
62 6 19	Johnathan Henderson
14 10 28	Rafael Campbell
15 11 14	Angelika Wagner
40 1 13	Frankie Jackson
29 8 13	Johnny Henderson
27 2 24	Clarence Robinson
16 5 18	Christopher Sherman
42 11 24	Clayton Copeland
74 4 7	Alma Huddleston
64 9 18	Roy Moody
39 6 20	Delaine Mitchell
55 6 3	Max Morris
17 9 8	Betty Rivera
21 0 3	Laurence Weaver
26 10 8	Chris Lopez
31 3 8	Gregory Watson
76 11 4	Gregory Roy
63 2 9	Teresa Blanton
14 1 21	Nelson McDaniel
78 2 5	Norman Griffin
24 5 11	Joshua Carvalho
26 9 1	Donald Wright
23 8 7	Krissy Harris
55 0 19	Collen Nunez
34 4 27	Karrie Orosco
67 1 29	Arthur Brown
85 7 19	Wayne Mabry
49 5 5	Jack Tate
38 4 10	Jose Watson
8 9 29	Pamela Green
62 4 13	Alan Fenton
85 5 11	Raymond Johnson
15 9 8	Walter Price
12 3 28	Jeremy Powell
70 0 22	Alice Moody
48 8 18	Sherri Perry
10 9 18	Walter Pibbles
20 4 29	Sharon Ingram
23 7 25	Rosie Freeman
72 5 1	Niki Martin
83 3 10	Nicholas Stokes
28 1 19	Gregory Barber
48 10 15	Lindsay Arevalo
10 10 30	Lindsey Buchanan
52 1 27	Ken Hale
15 4 9	Eloise Orosco
56 5 20	Jacqueline Shuman
65 4 15	David Brockman
16 9 1	Wanda Johnson
17 7 21	Timothy Boyle
21 6 19	Terrell Hindman
17 8 20	Martin Bowen
13 2 28	Janet Harris
75 2 30	Myron Martin
47 0 17	Nicolette Price
48 9 3	Stephenie Fortune
8 5 2	Nelson Buchanan
84 7 13	Oretha Flowers
26 7 24	Dexter Simpson
39 2 14	Alma Nelson
43 2 18	Maryalice Cox
9 11 8	Annie Barnes
26 8 4	Andrew Hampton
67 8 17	Diane Marsh
90 4 8	Terry Kelly
77 1 3	Nelson Sherman
37 7 19	Jane Nunez
30 1 15	Wade Main
87 3 26	Roger Gray
29 10 6	Khadijah Harris
38 1 27	Robin Brockman
31 3 12	Tracy Morgan
80 11 28	Maddie Reed
19 10 15	Kasie Roy
60 8 4	Patricia Wilkins
10 7 8	Shanelle Bowling
53 11 11	Yuonne Jenkins
45 6 22	Belinda Shuman
53 6 23	Gerard Gonzalez
88 9 14	Joe Alvarado
10 1 24	Shani Hughes
61 8 11	See Webb
75 1 7	Chris Alvarado
51 2 28	Rufus Taylor
13 2 6	Jonathan Bailey
37 6 15	Lindsay Hall
45 7 8	Earnest Webb
76 11 26	Jose Roland
20 8 8	Sophia Perez
75 11 18	Shanelle Boyle
22 4 1	Jacqulyn Olvera
27 6 8	Natasha Kelley
59 1 0	Diane Buchanan
53 7 4	Erica Reyes
68 8 14	Steve Weaver
60 1 27	Terence Ingram
18 7 4	Catherine Humphrey
64 7 0	Josphine Flaherty
21 9 7	Catherine Griffin
75 5 4	Deborah Lane
83 6 4	Charles Lee
75 2 14	Wilson Young
26 2 20	Joshua Payne
80 0 11	Zachary Drake
29 5 21	Nelson Archer
55 3 3	Jenifer Mitchell
58 10 27	Vera Reyes
78 0 6	Maddie Casey
79 0 19	Cynthia Grantham
45 10 7	Jackie Bailey
8 9 15	Steve Mitchell
76 6 26	Judith Rhodes
65 7 21	Alan Caraballo
90 5 5	Salvador Fleming
16 2 13	Diane Bailey
33 5 21	Edward Harvey
43 5 23	Carl Ramirez
46 5 2	Jeremy Scott
27 11 14	Irene Carter
90 11 13	Jonathan Lee
24 6 20	Niki White
10 2 29	William Barber
48 3 22	Bryant Dean
62 0 13	Walter Fortune
72 2 3	Judith Sanchez
62 1 16	Jacqueline Jenkins
57 10 25	Terence Howard
39 5 1	Nelson Evans
82 3 12	Wilmer Rivera
75 11 23	Arthur Willis
52 0 15	Earl Lewis
11 1 28	Steve Bell
8 0 12	Gregory Kelly
39 11 3	Ken Bryant
76 5 11	Tracy Holt
82 4 16	Angel Arevalo
20 2 11	Margaret Cox
26 7 6	Johnathan Hutchings
60 2 12	Natalie Miller
52 2 1	Stephenie Bell
68 11 20	Kimberly Gracia
87 11 17	Charlene Browne
53 5 0	Cynthia Butler
44 5 12	Joshua Martinez
70 3 0	Jackeline Barber
80 0 2	Edward Whitworth
63 4 13	Alice Garcia
72 4 9	Earl Holloway
79 6 9	Annie Walker
90 10 4	Charlene Bowen
80 6 0	Lindsey Roy
89 10 24	Jackie Cook
90 2 26	Dwayne Bailey
54 2 23	Chris Wright
24 6 2	Angel Jones
16 5 4	Eliana Lindsey
64 4 23	Mary Bass
84 6 28	Sarah Roy
73 0 21	Michelle Rogers
17 9 4	See Knight
50 0 15	Nancy Moore
23 5 8	Tracy Richardson
49 5 24	Jackeline Orosco
11 11 19	Timmy Tate
14 4 15	Edward Evans
80 4 7	Rosie Bennett
87 0 2	Katherine Padilla
89 7 6	Carl Rhodes
38 2 14	Mary Reyes
46 1 10	Kelly Buchanan
22 7 6	Samual James
8 2 26	Germaine Blanton
45 6 8	Tammy Miller
51 10 11	Aubrey Sterling
37 0 30	Dexter Green
45 11 13	Wilmer Brown
8 10 26	Tracy Carvalho
62 7 0	Antoinette Flowers
48 7 7	Patricia Henderson
82 5 23	Terence Harrington
55 1 30	Dennis Barrett
80 9 13	Michael Wilkins
75 9 12	Rachel Phillips
44 7 12	Jane Barlow
69 11 8	Susan Harris
11 10 12	Gary Davis
31 4 21	Val Collins
42 7 21	Ella Fenton
18 3 14	Irene Holloway
73 5 13	Adam Morgan
41 0 1	Zada Alvarado
37 5 25	George Lewis
47 5 3	Janice White
35 0 0	Clarence Robinson
24 11 19	Robin Weaver
79 7 18	Ken Young
74 0 25	Janice Duong
14 2 12	Terence Coleman
88 2 18	Kevin Hamilton
60 9 17	Jeni Washington
16 5 12	Inez Ball
17 9 28	Fred Henderson
75 11 1	Maddie Turner
52 0 3	Mildred Hunt
61 11 17	Mary Price
80 9 4	Devin Hughes
72 1 29	Denise Edwards
29 6 4	Aida Horowitz
45 1 12	Howard Browne
63 9 20	Julie White
64 11 17	Gordon Perry
38 7 0	Nancy Willis
82 7 6	Nancy Pulliam
72 3 22	Eloise Williams
76 2 4	Casey Collins
64 10 24	Jane Seymore
55 9 7	Jean Baker
83 11 30	Martin Price
83 5 26	Stephenie Goodrich
30 9 15	Ryan Hudson
51 0 24	Benjamin Miller
75 0 25	Ryan Baldwin
37 6 20	Andrea Coleman
84 7 10	Gregory Brockman
12 6 13	Andrew Brockman
71 1 8	Wayne Walters
25 8 14	Wilmer Baker
84 9 17	Tammy Harvey
40 1 30	Mary McDaniel
41 2 13	Clayton Allen
31 0 13	Cynthia Goodrich
23 6 9	Myron McDonald
52 9 25	Grace Thompson
21 1 30	Bobby Parker
54 10 8	Natalie Roy
21 10 8	Hsiu Martinez
77 9 25	Jean Willis
71 8 28	Edward Aguilar
80 6 18	Estelle Payne
90 5 18	Helen George
44 9 17	Ronald Hunt
73 5 13	Sharon Kelley
19 7 28	Nicholas Alvarado
53 11 10	Mary Murphy
68 4 28	Melissa Weaver
88 10 30	Martha Dennis
26 4 26	Gerard George
29 6 2	Kasie Faison
32 3 24	Nicolette Vaughn
72 11 11	Eileen Hale
57 4 16	Wilson Hudson
25 6 14	Kimberly Lee
55 10 13	George Turner
73 0 23	Gordon Rhodes
53 9 26	Gerard Campbell
32 10 27	Salvador Lopez
81 10 18	Willie Gracia
72 3 28	Alan Bowling
37 11 5	Kelly Price
77 11 23	Stephenie Knight
40 6 4	Andrea Carter
89 11 10	Eileen Lindsey
79 6 25	Sarah Wilkins
90 3 8	Alycia Horan
11 11 5	Jackie Casey
10 8 22	Karen Archer
79 1 9	Jacqueline Fortune
32 5 27	Ivan Medina
63 3 15	Jackie Benton
59 11 5	Doris Phillips
72 6 4	Anya Tate
76 2 29	Christine Reyes
11 6 15	Jackie Wheeler
14 2 13	Barbara Mitchell
63 4 16	Steve Williams
51 8 1	Annie Bowen
36 6 28	Hsiu Hollins
31 6 1	Devin Roy
32 11 23	Dwayne Roland
71 2 7	Angelika Carter
20 10 29	Ivan Orosco
77 5 7	Richard Perez
47 2 8	Alan Anderson
42 11 30	Dawne Roberts
16 8 18	Alice Smith
66 8 9	Teresa Green
30 3 22	Ramiro Carvalho
18 0 19	Rafael Sanchez
38 3 10	Richard Hughes
60 9 24	Mary Lee
62 5 7	Martin Coleman
33 5 26	Deborah Taylor
41 2 11	Annie Tackett
17 10 19	Steve Roland
74 4 4	Rachel Nunez
81 7 10	Angie Yoon
81 6 1	Clarence Reid
76 1 15	Laura Adams
39 6 29	Tammy Morris
87 5 28	Wanda Walters
17 1 13	Salvador Hale
75 9 5	Howard Thompson
55 2 19	Grace Gray
50 7 23	Lucia Harvey
47 7 26	Wayne Browne
23 0 0	Jennifer Watson
15 4 7	Jane Hines
48 2 15	Laurence Orosco
22 5 10	Roy Banks
79 5 1	Lindsay Barrett
71 10 9	Christine McDonald
54 6 21	Walter Ruiz
28 5 30	Ramiro Peters
30 3 22	Clarence Gray
22 11 14	Kim Ramirez
58 8 28	Delaine Blanton
41 6 4	Bryant Reed
61 3 26	Aida Bailey
58 9 30	Kelly Ruiz
78 8 5	William Pibbles
87 9 7	Katherine Martinez
52 6 1	Terence Jackson
11 11 18	Ivan Horan
40 8 6	Herma Payne
30 6 11	Melita Hughes
76 2 3	See Torres
66 10 30	Gregory Phillips
81 3 5	Pamala Reeves
16 2 27	Hsiu Rhodes
9 10 12	Rosie Graves
67 10 29	Roger Phillips
70 11 7	Betty Weaver
55 4 3	Howard Kelley
8 1 1	Belinda Bass
44 1 4	Felipe Stewart
80 2 21	Natasha Yoon
24 3 3	Nelson Jenkins
18 8 14	Johnathan Gonzalez
70 4 23	Walter Padilla
8 4 20	Levi Vargas
39 6 3	Gordon Hines
43 3 30	Andres Dunn
13 0 15	Susan Holt
33 11 14	Deborah Richardson
32 2 26	Fred Blanton
42 7 6	Delaine Mccune
70 3 6	Joanne Bowen
75 8 5	Shani Alvarado
82 10 2	Eugene Casey
73 0 13	Catherine Howard
85 7 15	Joshua Moore
38 0 15	Dorothy Thomas
64 11 27	Sarah Barrett
85 6 0	Chris Fleming
37 3 23	Howard Campbell
20 7 14	Wayne Lee
87 5 30	Joe Marsh
53 9 15	David Norman
12 8 10	Johnny Seymore
57 6 13	Barbara Dean
40 11 9	Charles Martin
71 5 2	Bryant Jackson
59 7 26	Martin Patterson
19 4 8	Mary Adams
73 3 12	Roger Main
14 3 12	Dwayne Hindman
52 9 30	Heidi Bryant
38 6 3	Jean Roy
39 4 25	Dani Franklin
68 11 30	Marjorie Hunt
53 6 14	Jason Benton
15 1 2	Cheryl Washington
51 7 30	Glennis Hollins
73 1 21	William Bass
21 11 7	Wilmer Perkins
22 11 16	Jenifer Casey
68 1 1	Niki Rivera
47 1 1	Nicholas Moody
89 1 24	Raymond Main
73 10 9	Lillian Benton
26 10 17	Johnathan Roland
45 11 8	Rose Dennis
80 3 6	Patricia Butler
42 1 7	Randee Sherman
41 2 29	Frankie Hughes
69 4 8	Levi Torres
22 3 18	Randee Bryant
17 9 15	Elvina Anderson
19 1 11	Marion Stokes
41 7 26	Treva Moody
71 6 2	Jack Flaherty
76 1 22	Kenneth Diaz
26 7 10	Judith Miller
61 9 4	Lonnie Ball
25 9 23	Richard Wright
62 2 6	Aubrey Rogers
43 0 24	Sherri Walker
31 10 15	Dani Lopez
74 1 14	Rufus Pibbles
48 3 18	Dexter Hardy
66 7 23	Terence Martinez
49 6 7	Kathy King
15 0 9	Ernest Young
12 9 4	Irene Dunn
38 10 20	Calvin Vargas
32 0 10	Pat Bailey
14 1 11	Jenifer Rivera
36 1 8	Eliana Williams
89 0 2	Katherine Lane
69 8 30	Donald Flynn
56 9 13	Benjamin Hardy
50 4 8	Irene Gracia
67 3 6	Lynn Stokes
48 8 5	Rufus Hudson
10 5 27	Zachary Russell
24 4 24	Kasie Jenkins
52 7 17	Lindsey Johnson
58 6 4	Jason Horan
67 4 8	Eliana Parker
80 8 18	Ella Butler
15 10 21	Levi Faison
36 7 12	Maryalice Benton
19 5 29	Marilyn Butler
63 5 0	Nicholas Griffin
78 7 11	Alejandro Alvarado
39 4 21	Mary Sanchez
38 11 1	Josphine Brown
76 3 12	Collen Baumann
40 10 1	Herma Townsend
18 5 26	Terry Payne
31 3 9	Rebecca Lindsey
64 0 17	Stasia Simmons
90 5 9	Pamela Coleman
45 7 27	Elijah Ross
53 3 26	Melissa Faison
8 10 26	Karen Perkins
47 9 2	Glennis Pulliam
50 10 19	Natalie Pibbles
69 4 26	Sarah Coleman
31 0 0	See Bailey
54 2 25	Teresa Wilson
87 7 13	Melissa Evans
18 8 23	Michael Doyle
14 9 18	Oretha Peterson
64 4 2	Diane Brooks
82 5 5	Wilson Sanchez
66 6 6	Aaron Cooper
10 0 19	Rafael Casey
24 7 22	Glennis Bell
29 6 3	Brandon Green
33 0 27	Brian Collins
13 7 1	Dwayne Walker
71 2 25	Alejandro Marsh
33 7 9	Jorge Miller
76 5 14	Ashley Roy
54 5 30	Carley Bell
55 2 0	Shanelle Lamb
35 1 2	Stephenie Jenkins
85 5 11	Anna Young
90 10 12	Tracy Phillips
20 4 4	Carley Moran
70 8 7	Helen Watson
13 7 30	Wade Simpson
35 6 0	Karen Tiller
79 6 29	Norman Vargas
25 10 26	Marilyn Thompson
50 10 1	Jenifer White
56 2 23	Terry Adams
26 1 30	Eugenia Dennis
66 6 10	Charlene Miller
22 2 23	Antoinette Morgan
22 9 28	Kenneth Bailey
68 2 22	Karrie Hollins
66 11 2	Jane Williams
80 8 15	Luz Hughes
16 6 16	Laura Hall
76 8 29	Joe Bass
85 7 26	Zada Fenton
65 9 17	Gregory Barnes
49 0 7	Andrew Humphrey
42 8 4	Charles Graves
61 5 28	Hugh Banks
75 6 17	Rosie Horan
62 1 29	Andrea Roland
75 7 1	Wilson Holland
34 5 27	Aida Perez
57 10 17	Shani Harris
42 4 6	Dwayne Coleman
61 6 24	Clarence Bowling
73 8 2	Jane Robinson
79 9 17	Santiago Vega
76 1 11	Timothy Bowling
24 5 22	Cheryl Cook
49 9 25	Wayne Reid
58 10 9	Cynthia Rhodes
33 8 10	Timmy Barth
89 11 27	Gerard Rivera
48 1 19	Karrie Lane
87 9 13	Lynn Hale
19 2 28	Kevin Lewis
59 9 27	Kenneth Payne
15 0 26	Adam Norman
11 11 17	Mary Harris
58 6 1	Chris Hughes
84 9 28	Marion Flynn
46 0 1	Wayne Nelson
88 11 11	Kathy Griffin
51 7 24	Raymond Drake
23 7 7	Joe Caraballo
54 1 15	Eileen Aaron
28 7 7	Wanda Turner
80 2 15	Ryan Flowers
63 0 16	Treva Simmons
28 10 9	Janice Campbell
34 1 12	Natasha Butler
20 1 27	Kathy Payne
18 8 15	Claudine Boyle
51 3 27	Wayne Boyle
83 3 16	Nicolette Hughes
71 7 6	Natasha Ward
26 6 13	George Allen
53 9 30	Val Medina
65 5 6	Casey Weaver
25 8 26	Wayne Henderson
35 11 19	Kelly Scott
30 4 20	Jacqueline Moody
90 7 26	Clayton Torres
8 0 9	Collen Long
84 9 10	Dexter Price
79 11 5	Kimberly Moran
77 3 9	Deborah Reeves
49 4 12	Nicholas Flaherty
80 1 15	Sarah Collins
42 4 29	Brandon Roberts
65 10 7	Joshua Gonzalez
39 6 0	Dorothy Barlow
21 3 30	Devin Marsh
17 7 19	Jennifer Hall
23 0 22	Earl Lanham
55 5 23	Inez Henderson
50 9 29	Anthony Johnson
40 2 5	Spencer Doyle
70 9 26	Sophia Hollins
67 0 15	Ivan Holloway
25 11 4	Hsiu Simpson
79 0 14	Delaine Wilkins
26 9 26	Melita Carr
16 9 17	Walter Martin
16 4 9	Jane Perry
38 7 11	William Pibbles
59 2 24	Alice Gonzalez
53 0 11	Kenneth Ball
28 2 23	Marilyn Carter
70 3 28	Vera Gonzalez
48 4 12	Alan Harrington
68 7 27	Wilmer Richardson
88 4 6	William Kelley
65 9 10	Johnathan Banks
48 6 26	Julie Jackson
17 4 22	Martin Rivera
13 0 30	Calvin Reed
35 2 17	Bryant Butler
21 8 28	Timothy Hardy
85 8 21	Carl Walters
43 6 20	Annie Kelley
84 0 16	Vera Stewart
70 2 30	Mildred Wagner
34 0 13	Rufus Shuman
66 3 29	Belinda Holloway
51 5 0	Vera Hudson
42 4 29	Brandon Duong
53 2 8	Heidi Simpson
16 9 29	Lindsay Watson
27 2 7	Rose Griffin
25 1 29	Timothy Cooper
51 0 2	Anthony Graves
62 6 23	Aaron Archer
25 11 22	Stephenie Reddick
66 5 2	Marie Peterson
14 2 8	Candelaria Davis
80 6 11	Katherine Tackett
66 7 2	Ivan Orosco
61 4 3	Melita Henderson
28 8 19	Donald Brockman
82 1 28	Sherri Torres
21 5 23	Kenneth Tackett
19 1 14	Laura Flynn
11 0 18	Kasie Flaherty
75 2 28	Robin Roberts
54 1 30	Ronald Henderson
83 2 1	Brandon Barnes
77 8 12	Delaine Humphrey
42 3 2	Lynn Johnson
13 1 19	Jane Jenkins
13 0 27	Inez Harrington
37 3 11	Dawne Thompson
26 1 3	Kim Gracia
45 4 20	Kelly Green
62 4 3	Marion Howard
41 5 16	Gary Wood
54 3 1	Dennis Turner
45 5 19	Zachary Taylor
79 2 2	Jackie Humphrey
41 7 15	Felipe Baumann
63 5 15	Marion Drake
54 9 15	Patti Tackett
57 7 10	Shrimply Browne
58 2 14	Alejandro Knight
30 3 19	Delaine Holt
78 7 18	Zachary Dennis
55 0 14	Judith Tiller
74 0 29	Jackie Campbell
72 2 8	Brandon Cooper
83 5 8	Margaret Clark
13 3 22	Joe Howard
27 11 26	Andres Patterson
9 3 16	Elvina Willis
85 10 11	Jacqulyn McDonald
13 11 20	Kenneth Fortune
43 2 2	Lonnie Lewis
47 1 10	Karrie Sullivan
57 8 29	Dennis Harrington
46 0 15	Nancy Carvalho
62 2 23	Jack Walters
82 0 27	Randee Barrett
82 11 15	Terry Gracia
21 6 28	Adam Bailey
44 2 5	Lucia Brockman
23 0 9	Carl Weaver
53 1 11	Jackie Banks
62 10 29	Cheryl Benton
