10607
87 7 26	See Hines
31 2 30	Alice Caraballo
39 8 1	Maryalice Hollins
89 4 24	Jenifer Olvera
64 2 1	Barbara Whitworth
63 8 20	Kathleen Archer
44 7 28	Aubrey Powell
15 2 4	Rafael Thompson
23 4 27	Denise Taylor
84 10 12	Ella Evans
88 3 5	Mildred Smith
37 1 12	Patti Buchanan
18 11 1	Anna Price
21 9 25	Angel Fleming
43 5 19	Tammy Pulliam
16 7 29	Denise Bennett
69 7 29	Heidi Brockman
24 3 28	Levi Griffin
74 0 2	Joanne Simmons
22 6 23	Rufus Flores
57 0 20	Zachary Anderson
88 8 14	Delaine Buchanan
53 6 30	Vera Henderson
90 5 12	Alan Reddick
36 2 6	Jackeline Powell
89 10 9	Rebecca Barrett
73 10 2	Lindsay Allen
83 9 25	Elijah Arevalo
79 1 21	Laurence Phillips
22 10 21	Charles Bryant
39 5 15	Deborah Cooper
88 11 16	Andrew Banks
76 8 30	Martha Platt
58 5 9	Marion Watson
85 6 23	Alan Boyle
42 0 30	Diane Harris
17 7 8	Jose Peters
19 8 26	Heidi Peterson
10 7 20	Jenifer Nelson
19 8 23	Oretha Meyer
55 5 9	Hsiu Browne
16 0 7	Gerard Reyes
63 7 2	Janet Graves
71 3 17	Krissy Flaherty
86 0 28	Jason Griffin
36 5 8	Rosie Freeman
46 4 2	Bobby Fenton
88 10 29	Michael Hughes
19 10 15	Gary Arevalo
44 4 26	Roger Nunez
9 2 8	Carley Butler
41 9 3	Zada Lane
31 11 1	Timmy Price
57 5 12	Alejandro Patterson
61 5 1	Yuonne Norman
14 9 3	Andres Hughes
46 0 6	Rafael Hutchings
16 4 4	See Robinson
48 10 16	Charlene Rhodes
72 4 6	Angie Holt
27 1 23	Kenneth Butler
79 4 25	Tracy Powell
31 5 9	Rosie Barber
25 3 26	Roger Baumann
12 8 11	Marion Baker
35 3 25	Mildred Henderson
62 5 8	Donald Reyes
76 10 3	Pamala Lamb
49 4 19	Spencer Gonzales
28 8 6	Diane Watson
55 11 27	Shrimply Bass
74 5 13	Angelika George
44 9 27	Alan Peters
46 5 19	Lillian Barber
16 7 16	Wilmer Stewart
82 2 20	Diana Hamilton
9 0 6	Nicholas Hardy
45 1 14	Khadijah Hughes
9 3 14	Shrimply Willis
38 9 6	Aubrey Pulliam
72 1 29	Andre Patterson
15 1 22	Treva Barber
16 11 15	Marie Reyes
30 4 13	Max Brockman
71 2 10	Patricia Wilson
57 11 12	Kevin Taylor
35 1 5	Diane Martin
57 3 30	Judith Padilla
33 6 5	Nicholas Tate
65 5 26	Claudine Fortune
60 6 25	Erica Lane
53 8 14	Betty Ward
56 6 30	Levi Carr
77 4 16	Hugh Ward
28 4 2	Shanelle Porterfield
71 7 25	Clarence Walters
45 7 22	Judith Watson
8 3 26	Candelaria Blanton
75 3 23	Vera Vaughn
22 2 15	Jeremy Marsh
45 6 6	Pamela Gonzalez
21 7 27	Walter Miller
45 0 2	Steve Stokes
81 1 9	Calvin Vargas
33 5 30	Jackie Copeland
33 4 11	Martin Evans
14 8 22	Frankie Foster
33 2 24	Marshall Hines
12 7 7	Timothy Ball
61 4 24	Ronald Butler
66 5 16	Helen Barth
17 5 0	Judith Johnson
24 5 18	Stasia George
32 7 21	Kimberly Peters
88 0 4	Estelle Williams
75 3 24	Karrie Martin
70 7 7	Kasie Miller
8 9 14	Yuonne Meyer
61 4 3	Melissa Henderson
26 5 0	Cheryl Humphrey
58 2 25	Kathleen Bell
32 5 2	Karen Ingram
16 4 12	Janet Bowling
73 10 20	Charlene Seymore
17 10 22	Deborah Thomas
15 5 1	Dawne Simpson
77 10 25	Benjamin Smith
24 7 0	Terrell Moody
29 7 13	Michael Ingram
61 9 0	Alice Graves
8 6 30	Devin Walters
71 10 6	Marion Browne
79 2 3	Jose Townsend
56 6 24	Terrell Watson
35 5 2	Maryalice Caraballo
23 9 17	Jonathan Nelson
78 2 21	Michelle Freeman
52 5 12	Doris Vega
44 0 13	Kevin Payne
23 8 23	Jacqueline Thompson
36 3 12	Kathleen Pibbles
44 11 8	Kathy Baumann
15 3 7	Jackie Perkins
31 1 12	Claudine Hindman
17 7 26	Frankie Harris
58 11 14	Patricia Padilla
89 2 6	Gary Baldwin
12 11 8	Krissy Long
83 11 16	Fred Hampton
84 11 20	Doris Carvalho
77 0 8	Earl Perez
74 9 0	Andrew Bailey
64 3 20	Kelly Clark
88 5 18	Roy Campbell
66 9 1	Cecil Cook
88 10 2	Nancy Olvera
12 2 26	Andre Brooks
50 6 7	Kathy Archer
29 8 1	Ernest Ramirez
70 4 10	Shrimply Pulliam
39 3 22	Elijah Henderson
88 5 7	Earl Howard
9 2 10	Laura Pulliam
58 2 29	Sharon Parker
60 6 0	Krissy Scott
47 1 24	Brian Barrett
18 2 26	Josphine Hunt
66 2 1	Patricia Morris
85 4 27	Shanelle Platt
17 4 2	Eloise Bryant
69 7 10	Andrea Dunn
14 5 21	Kathleen Butler
31 9 19	Aaron Buchanan
49 7 24	Antoinette Holloway
70 8 15	Karen George
43 7 0	Kim Lanham
84 9 12	Julie Thomas
56 8 29	Betty Thomas
51 3 1	Anthony Archer
54 7 21	Terence Buchanan
16 2 10	Sherri Gray
73 6 10	Krissy Peters
56 2 21	Brandon Sullivan
59 7 4	Jacqulyn Roy
80 1 12	Joe Moran
14 4 27	See Townsend
38 8 9	Hugh Fortune
68 0 6	Josphine Fortune
84 9 6	Germaine Morris
37 0 22	Marion Aaron
35 11 11	Martin Bennett
9 6 10	Clark Martinez
45 7 18	Eileen Padilla
59 0 30	Myron Peterson
20 0 17	Bobby Alvarado
35 0 15	Maryalice Cook
20 0 22	Martha Griffin
17 2 12	Santiago Peters
54 2 18	Kelly Jenkins
15 8 27	Ken Mccune
75 7 20	Aaron Bailey
76 6 25	Ramiro Lamb
69 4 0	Marshall Neal
13 10 4	Maria Huddleston
44 3 18	Terrell James
8 7 12	Bobby Maldonado
66 6 4	Darrin Payne
16 2 3	Lillian Arevalo
21 11 0	Annie Griffin
80 2 14	Kelly Jones
36 0 11	Randee Long
57 0 18	Charles Payne
75 9 15	Claudine Brooks
59 6 23	Collen Gonzalez
47 3 4	Collen Blanton
14 4 27	Karrie Bowen
53 1 28	Dwayne Bennett
70 1 20	Melissa Hubbard
71 2 5	Hsiu Johnson
17 6 18	Maryalice Young
85 9 14	David Meyer
45 7 19	Mary Faison
38 8 25	Pat Hale
12 3 18	Nancy Wheeler
48 0 1	Aaron Caraballo
31 8 16	Ashley Tackett
29 11 8	Estelle Hunt
84 11 18	Brian Sanders
61 4 4	Timmy Hindman
73 5 24	Delaine Long
74 9 8	Aubrey Griffin
41 5 24	Johnathan Maier
79 9 17	Dawne Simpson
36 0 1	Niki Dennis
13 2 30	Devin Lindsey
85 3 20	Nelson Fenton
89 10 12	Josphine Adams
22 4 22	Krissy Arevalo
17 8 13	Angel Nunez
79 11 2	Nelson Sterling
54 2 27	Gerard Steadman
58 9 26	Stephenie Jackson
57 1 9	Samual Whitworth
38 0 7	Antoinette Carvalho
41 1 5	Lillian Holt
39 5 10	Dennis Ross
27 10 12	David Campbell
41 6 2	Tracy Reeves
18 3 15	Arthur Roberts
65 6 10	Amanda Rhodes
37 0 10	Darrin Dennis
32 0 19	Claudine Lopez
22 5 0	Marshall Flynn
85 2 3	Terrell Martinez
46 8 3	Rachel Aaron
49 10 17	Darrin Gracia
64 8 30	Jack Alexander
86 0 0	Inez Dean
35 0 26	Jacqulyn Paul
15 4 22	Oretha Lewis
81 1 11	Wayne Steadman
90 11 15	Spencer Fortune
71 7 5	Jeni Padilla
23 5 2	Nelson Pibbles
67 7 14	Germaine Tackett
55 1 4	Johnny Bryant
58 10 27	Timmy Sanchez
78 10 13	Cecil Moody
75 7 16	Judith Richardson
55 9 19	Claudine Hall
87 0 3	Calvin Bryant
39 8 3	Jackeline Moody
55 2 24	Maddie Henderson
42 6 26	Janet Cooper
46 0 4	Earl Harrison
90 4 12	Kasie Price
73 11 29	Zachary Benton
31 8 23	Pat Morgan
61 4 20	Lila Wilson
73 6 12	Herma Martin
60 8 15	Arthur Edwards
25 0 12	Natalie Maier
89 3 17	Dani Reid
29 9 26	Joe Blanton
16 2 26	Ella Kelley
74 3 14	Christopher Goodrich
87 5 15	Earnest Fenton
10 11 10	Dawne Howard
28 4 6	Wanda Allen
38 2 28	Timothy Baumann
19 3 11	Nelson Brockman
27 1 24	Treva Wilson
90 10 22	Jennifer Medina
90 1 18	Kenneth Murphy
29 11 17	Wade Aaron
45 1 23	Ivan Sterling
39 0 16	Helen Steadman
38 3 26	Katherine Harrington
77 4 3	Shanelle Tiller
74 9 9	Annie Stewart
55 8 13	Adam Alexander
64 6 1	Max Vega
16 11 27	Fred Sanchez
34 9 4	Andres Collins
67 9 25	Donald Butler
83 9 19	Brian Duong
65 11 12	Rebecca Griffin
9 5 16	Rosie Hubbard
27 7 7	Sarah Gray
64 4 21	Deborah Williams
85 6 25	Steve Arevalo
25 5 3	Timothy Webb
81 2 28	Jonathan Torres
37 7 23	Raymond Bennett
55 6 8	Myron Thomas
77 6 12	Delaine Porterfield
51 11 23	Clayton Thompson
41 8 16	Glennis Copeland
55 0 16	Dawne Grantham
12 7 16	Dwayne Knight
47 0 7	Delaine Horowitz
18 4 5	Frankie Main
77 9 2	Margaret Perez
62 10 24	Anna Morris
90 11 10	Alycia Walker
8 6 22	Gerard Evans
42 11 21	Anna Maldonado
51 0 23	Earl Washington
85 5 27	Tracy Meyer
41 5 9	Marilyn Padilla
75 1 2	Barbara Price
59 6 26	Pamela Gonzalez
26 3 12	Vera Carter
41 10 12	Calvin Humphrey
20 4 15	Angelika Bennett
52 3 14	Vera Taylor
42 7 24	Elvina Tackett
81 8 4	Diane Flores
11 0 4	Annie Anderson
74 5 29	Laurence Martin
75 5 2	Denise Vega
51 11 16	Estelle Stokes
19 11 7	Gregory McDaniel
41 6 18	Marshall Carter
61 5 11	Frankie Baker
42 3 18	Randee Moore
8 2 25	Jason Campbell
63 1 5	Ramiro White
59 8 30	Hsiu Barrett
27 0 26	Shanelle Platt
39 0 26	Brandon Neal
58 11 4	Charlene Baumann
75 6 15	Jane Dennis
16 10 20	Maria Simmons
35 7 20	Tammy Reyes
27 8 19	Dawne Porterfield
52 1 9	Candelaria Sherman
67 8 30	Denise Coleman
19 8 30	Ken Maier
80 6 17	Santiago Holt
50 8 19	Lynn Hubbard
82 5 11	Susan Smith
77 5 25	Bobby McDonald
15 10 9	Sarah Flynn
74 0 7	Deborah Alvarado
32 5 15	Nicolette Martin
84 9 9	Clayton Griffin
63 1 28	Dwayne Reed
77 6 25	Andre Drake
59 4 4	Cecil Moore
43 10 20	Bryant Rivera
53 1 9	Zada Sullivan
83 11 1	Oretha Casey
87 0 23	Katherine Henderson
34 0 4	Joe Hindman
56 6 19	Mary Boyle
90 11 28	Clarence Pulliam
32 8 17	Howard Collins
26 3 20	Grace Kelley
78 10 21	Robin Ward
21 5 9	Kimberly Vega
25 2 8	Sharon Morgan
75 1 16	Myron Horan
12 6 7	Pamela Murphy
25 5 12	Natalie Thomas
59 1 2	Janice Hill
26 1 22	Charlene Walters
19 2 6	Randee Baumann
63 0 27	Krissy Harrington
75 9 19	Gregory Evans
33 1 16	Michelle Marsh
55 6 4	Joe Coleman
26 8 0	Timothy Payne
61 10 19	Earnest Harris
89 1 9	Gerard Lanham
68 0 26	Kelly Ward
38 2 20	Lucia Faison
42 10 15	Timothy Thompson
36 6 21	Gerard Simpson
77 5 12	Natasha Morgan
27 4 1	Janice Griffin
73 6 5	Kevin Diaz
71 7 6	Arthur McDaniel
65 11 30	Joe Diaz
17 11 28	Annie Gonzales
21 4 4	Natasha Grantham
38 2 25	Carl Coleman
12 11 30	Aida Neal
35 8 24	Gerard Duong
53 5 20	Benjamin Richardson
46 2 9	Marion Horan
32 3 17	Raymond Price
52 8 9	Lillian Humphrey
38 0 23	Gordon Hill
48 6 22	Marie Taylor
63 8 26	Samual Jackson
12 4 23	Cecil Orosco
67 5 18	Nicholas Mccune
39 6 16	Jack Martinez
75 2 0	Angelika Reed
73 4 3	Wade Davis
19 0 5	Carley Brockman
65 5 16	Barbara Ball
30 0 3	Dwayne Alvarado
44 3 15	Samual Caraballo
34 5 30	Anthony Bryant
12 2 25	Alice Martinez
34 1 24	Karen Barber
16 1 10	Angel Washington
22 0 29	Ryan Barber
13 6 19	Marjorie Drake
74 7 12	Andres Aaron
79 4 8	Angie Ross
75 0 18	Kathleen Payne
17 11 15	Michael Baldwin
25 9 24	Tracy Caraballo
83 2 10	Denise Shuman
51 4 23	Khadijah Neal
26 6 28	Hugh Vaughn
19 8 28	Max Hutchings
41 6 3	See Perkins
38 0 11	Jeremy Jenkins
21 11 13	Katherine Young
73 0 18	Stephenie Graves
8 5 17	Tammy Carr
37 5 28	Nicholas Griffin
43 11 19	Karen Baumann
72 0 8	Terence Walker
54 9 12	Tracy Jenkins
75 5 12	Melissa Clark
65 1 26	Doris Holloway
86 9 25	Bryant Hardy
55 9 2	Andrew Holland
84 10 14	Krissy Howard
28 1 15	Lucia Campbell
90 1 2	Adam Hampton
21 6 11	Diane Murphy
42 7 22	Angie Parker
33 1 28	Mary Collins
68 8 4	Jacqulyn Meyer
76 6 24	Anya Rivera
81 9 13	Ryan Phillips
68 8 10	Oretha Huddleston
75 3 7	Kimberly Graves
56 4 15	Edward Jackson
38 10 22	Lindsay Parker
64 2 1	Annie Flores
11 11 10	Andre Sherman
32 5 11	Donald Cox
70 2 1	Stephenie Drake
24 7 16	Kimberly Watson
10 9 18	Marion Walker
51 9 26	Robin Ball
64 11 23	Charles Richardson
52 4 4	Brian Copeland
69 10 10	Kathy Casey
8 10 30	Elijah Flaherty
10 7 14	Shani Gonzales
10 1 5	Ryan Davis
26 10 16	Jenifer Martin
10 2 24	Michael Butler
69 8 14	Pamela Lamb
58 10 1	Treva Grantham
81 7 9	Erica Casey
31 0 5	Donald Lamb
33 0 4	Terence Goodrich
12 11 21	Eileen Thompson
12 11 24	Nelson Martin
75 3 21	Christine Miller
40 4 25	Eileen Powell
15 10 14	Hsiu Harris
72 6 27	Irene Reyes
64 0 21	Teresa Coleman
48 5 14	Kevin Pibbles
45 11 12	Betty Hale
84 7 9	Gregory Peterson
38 5 26	Wilmer Grantham
19 0 8	Sharon Fortune
25 10 5	Sherri Copeland
89 1 27	Roy Morgan
66 9 23	Janet Hollins
19 10 1	Krissy Price
72 8 6	Jane Barnes
11 11 28	Ashley Dennis
47 4 13	Rebecca Hollins
59 11 22	Rose Parker
66 11 18	Pat Bennett
71 8 17	Frankie Griffin
26 0 21	Elijah Morgan
55 3 30	Maria Lee
17 9 23	Stephenie Anderson
19 1 5	Herma Peterson
87 11 23	Jonathan Collins
21 9 9	Tracy Maldonado
32 3 9	Zada Weaver
11 7 22	Hsiu Caraballo
82 9 2	Salvador Kelly
65 3 20	Jennifer Thomas
72 7 24	Anya Roland
50 6 18	Eileen Perez
42 0 24	Gordon Browne
82 11 3	Adam Reid
23 5 11	Robin Vaughn
41 10 5	Angie Alexander
85 4 6	Joe Baumann
45 8 27	Clayton Tackett
77 3 29	Jane Kelley
11 3 2	Dexter Gonzalez
81 6 17	Glennis Ross
71 7 13	Diana Price
59 6 16	Deborah Copeland
39 8 30	Janet Martinez
41 2 18	Ronald Fortune
87 8 11	Earnest Sanders
57 9 5	Natasha Russell
88 0 23	Michelle Maldonado
59 11 6	Michelle Webb
18 4 10	Hsiu Parker
24 10 23	Rosie Harris
45 5 4	Cecil Barlow
11 3 15	Joe Hale
56 10 10	Ken Barlow
61 2 19	Stasia Olvera
77 5 21	Jason Holland
23 8 25	Zada Moore
8 1 27	Shrimply King
54 6 2	Eloise Jenkins
13 4 9	Jeremy Miller
36 9 0	Richard Ramirez
73 3 4	Anya Cox
38 0 17	Levi Hollins
17 6 9	Calvin Wagner
36 10 7	Lucia Alexander
27 8 22	Anthony Hampton
66 4 5	Steve Vaughn
24 0 2	Angelika Willis
47 4 16	Ken Henderson
13 10 6	Kasie Hudson
27 7 24	Terence Alvarado
53 7 7	Joshua Mitchell
51 2 20	Niki Blanton
87 0 2	Deborah Collins
12 11 28	Steve Ross
77 8 12	Tracy Mabry
81 7 11	Brian Allen
80 6 24	Frankie Edwards
75 0 30	Clarence Fortune
82 5 28	Hugh Stewart
28 2 12	Frankie Doyle
50 0 21	Andre Goodrich
71 10 16	Nicholas Gonzalez
11 2 24	Claudine Sanchez
79 7 29	Randee Taylor
8 3 10	Andrea Morris
84 3 15	Valerie Vargas
26 9 23	Katherine Tackett
50 6 0	Darrin Seymore
49 8 13	Susan Humphrey
32 4 4	Doris Vaughn
20 1 24	Laura Phillips
29 9 12	Nancy Rogers
55 7 30	Shrimply Perkins
19 3 17	Irene Cook
71 5 26	Eloise Ward
48 2 20	Wayne Kelly
26 3 2	Mary Hernandez
26 7 19	Kelly Ross
61 8 10	Aubrey Bryant
45 6 27	Ken Payne
42 3 7	Jeni Kelly
39 2 25	Lynn Pibbles
42 11 11	Julie Hamilton
29 10 25	Maria Smith
29 5 19	Timothy Bailey
37 3 29	Dexter Weaver
63 11 28	Marie Peterson
61 1 7	Kathleen Cox
20 11 28	Deborah Wagner
55 2 18	Nancy Ward
48 11 25	Anna Pulliam
87 4 21	Eliana Barth
33 11 9	Pamala Bennett
37 4 2	Eloise Hollins
32 11 19	Charles Barlow
28 0 0	Andres Tate
66 2 9	Jenifer Hunt
84 10 24	Lindsey Orosco
13 4 25	Steve Scott
43 11 4	Aida Hubbard
20 3 2	Jean Tackett
9 4 22	Delaine Mabry
27 3 16	Antoinette Harrington
59 2 15	Kathleen Maldonado
22 10 13	Terence Knight
16 7 6	Janice Mccune
34 8 30	Timmy Scott
66 0 26	Angie Carter
67 3 9	Steve Collins
87 8 18	Erica Brockman
34 9 5	Josphine Thompson
14 1 14	Stephenie Morgan
78 5 0	Zada Reddick
29 4 7	Dani Franklin
32 8 16	Jeni Rogers
49 8 9	Martin Mccune
51 7 27	Brandon Padilla
37 2 24	Kim Jackson
22 10 7	Shanelle Mitchell
43 11 12	Jackie Roberts
65 8 2	Annie Gonzalez
34 5 20	Marshall Padilla
71 2 27	Annie Garcia
66 7 5	Andrea Alexander
86 10 3	Marilyn Pibbles
43 1 29	Kimberly Howard
21 1 4	Angel Lane
68 0 14	Estelle Simpson
90 8 7	Jack Rodriguez
80 2 27	Wade Willis
87 11 24	Roy Thompson
84 3 13	Mary Ramirez
73 4 24	Jennifer Duong
38 5 9	Myron Caraballo
62 7 25	Hugh Yoon
62 6 7	Wayne Shuman
52 2 21	Susan Butler
81 1 3	Clark Shuman
32 7 17	Martin Paul
90 8 7	Jose Barber
47 11 3	Heidi Miller
65 0 21	Samual Olvera
82 3 22	Doris Bowen
24 5 29	Anya Flaherty
45 6 27	Kathy Duong
67 8 13	Elvina Simpson
14 7 10	Antoinette Richardson
9 8 3	Jean Holland
42 3 25	Dani White
22 1 22	Jackie Hines
39 11 17	Roy Holland
65 0 11	Wayne Aguilar
87 10 22	Estelle Bryant
12 10 8	Walter Price
15 5 8	Ashley Carter
45 5 21	Cecil Arevalo
27 1 2	Betty Bell
47 4 14	Kevin Sanchez
31 0 26	Diana Dunn
67 6 19	Wayne Wright
70 0 15	Ashley Perry
41 9 5	Valerie Harrison
75 7 18	Nicholas Harrington
75 9 25	Gary Steadman
16 10 19	Rosie Huddleston
59 11 8	Earl Taylor
34 9 26	Earl Walker
8 0 17	Val Harris
8 4 17	Barbara Huddleston
12 8 23	Clayton Perry
78 9 21	Denise James
33 1 24	Jackie Dean
58 10 11	Sharon Copeland
79 10 7	Inez Flores
63 0 25	Diana Medina
27 8 27	Lillian Bennett
57 1 6	Jane Adams
76 3 11	Brian Coleman
16 0 4	Martin Young
74 6 30	Annie Butler
40 10 3	Nicholas Dean
18 6 11	Jonathan Allen
68 3 23	Frankie Wilson
48 3 12	Lonnie Horan
11 7 22	Ivan Davis
11 8 17	Devin Hughes
90 0 14	Karrie Hall
79 0 15	Alice Marsh
12 6 1	Oretha Davis
15 6 4	Ernest Parker
44 7 27	Jane Barth
50 11 17	Ramiro Holloway
60 2 20	Terrell Miller
54 6 21	Clarence White
65 2 17	Vera Hughes
40 1 27	Charles Ramirez
80 3 5	Oretha Jackson
38 4 1	Patricia Harvey
38 11 28	Eileen Holt
85 9 7	Jane Hines
84 0 19	Martin Kelley
44 1 22	Nicholas Franklin
38 3 19	Betty Sherman
35 9 9	Julie Collins
45 2 6	Alice Moody
78 10 11	Wade Shuman
26 10 22	Grace Webb
71 2 17	Yuonne Bell
32 4 28	Khadijah Duong
25 7 24	Treva Lane
67 2 7	Eugenia Collins
28 11 19	Michael Willis
15 2 20	Zachary Adams
66 4 21	Denise Benton
36 10 25	Gordon Martin
86 5 27	Joshua Peters
79 1 13	Jenifer Nelson
88 8 3	Adam Horowitz
19 8 6	Nicolette Gonzales
58 6 20	Andres Tate
18 6 14	Luz Vega
67 7 2	Jackie Rhodes
55 5 27	Jane Robinson
45 9 13	Marilyn Barrett
76 8 22	Nicolette Vaughn
68 10 29	Gary McDaniel
15 2 21	Patti Wood
75 1 3	Denise Howard
68 1 5	Gordon Baumann
72 5 21	Terry Sterling
15 2 25	Ken Mitchell
38 3 30	Ella Paul
31 11 5	Lindsay Hunt
8 1 21	Sharon Meyer
51 9 21	Frankie Paul
65 4 20	Maria Barrett
57 10 14	Casey Aguilar
47 7 23	Charles Bowling
21 5 21	Jane Campbell
15 6 18	Mary Hamilton
87 0 7	Claudine Fortune
48 8 3	Estelle Price
35 1 21	Terrell Reyes
88 9 24	Lindsey Hudson
64 11 23	Elvina Sanders
86 11 13	Eugenia Foster
40 11 13	Annie Vega
19 6 16	Khadijah Baker
75 1 22	Frankie Barth
18 8 20	Wayne Scott
53 9 30	Alejandro Fortune
41 9 13	Maria Bryant
66 11 3	Margaret Lee
45 2 15	Zada Howard
30 1 15	Erica Roberts
17 0 28	Joe Simmons
34 6 18	Charles Jones
16 10 5	Marilyn Payne
71 5 12	Shani Padilla
90 4 3	Delaine Franklin
22 1 21	Brian James
55 8 17	Denise Hubbard
41 0 26	Kelly Gonzales
65 2 4	Melita Hines
9 0 13	Timothy Williams
11 6 8	Jean Rivera
69 10 24	Josphine Scott
57 4 28	Angelika Copeland
49 4 26	Nelson Flowers
8 10 27	Germaine Garcia
12 11 7	Willie Meyer
37 3 7	Angelika Williams
52 2 15	Johnathan Aaron
32 6 22	Cheryl Coleman
53 5 30	Cynthia James
58 9 28	Kevin Copeland
38 2 4	Kevin Flaherty
61 4 27	Darrin Lanham
80 6 3	Aaron Campbell
51 7 27	Wilson Hollins
9 4 1	Eileen Watson
31 6 27	Zachary Bowling
83 7 30	Jose Wright
54 2 2	Alice Scott
50 3 24	Zada Weaver
46 6 12	Arthur Boyle
48 6 7	Heidi Blanton
32 2 25	Brian Scott
41 5 24	Janice Medina
78 10 19	Carl Thompson
58 10 28	Marshall Reddick
89 3 14	Ramiro Evans
82 1 14	Nancy Gray
46 9 20	Martin Johnson
38 2 1	Luz Walker
64 2 7	Levi Paul
82 2 4	Patti Harrington
30 10 28	Jane Cooper
90 1 10	Roy Ball
53 1 19	Jacqulyn Horan
27 2 17	Andrew Carter
42 2 14	Johnny Lindsey
34 8 20	See Johnson
68 10 22	Donald Harrington
58 11 28	Laurence Lanham
56 11 19	Samual Taylor
39 9 6	Krissy Bowen
9 2 3	Wade Thompson
82 3 11	Gregory Seymore
53 9 13	Catherine Hernandez
65 1 12	Dwayne Wilkins
86 1 16	Jacqueline Hines
86 3 12	Andre Hutchings
86 1 4	Jenifer Benton
36 8 20	Dennis Lee
27 9 30	Jenifer Reeves
34 7 24	Edward Barrett
52 7 30	Fred Maldonado
18 5 24	Donald Bowling
65 5 27	Carl Weaver
44 6 20	Vera Kelley
10 6 28	Dorothy Marsh
20 7 16	Teresa Hines
19 2 24	Jacqueline Harris
64 1 7	Martin Morris
63 0 2	Josphine Doyle
90 1 2	Patti Lewis
11 5 0	Mary Butler
24 0 3	Sharon Gonzalez
30 4 14	Jacqulyn Lewis
90 6 5	Katherine Hutchings
74 4 13	Marilyn Olvera
27 8 23	Vera Meyer
59 10 3	Erica Main
72 2 14	Brian Taylor
34 6 29	Rose Gonzalez
76 2 13	Jennifer Dunn
18 6 2	Glennis Cook
60 11 19	Jackeline King
44 8 14	Carley Flores
15 11 27	Karen Bowen
65 2 11	Raymond Turner
9 8 12	Howard Flynn
80 8 7	Judith Ross
54 4 30	Max Brockman
36 6 30	Melita Aaron
70 10 20	William Norman
71 5 29	Eugene Alexander
58 1 16	Christine Maier
40 10 15	Darrin Adams
12 11 20	Nancy Whitworth
44 7 9	Alice Ingram
56 9 28	Zachary McDonald
84 3 29	Andre Lindsey
