3193
39 2 30	Nicholas Watson
31 2 9	Jennifer Johnson
10 2 15	Benjamin Archer
52 0 6	Aida Clark
82 6 18	Susan Williams
38 1 22	Natasha Flores
60 9 8	Alma Goodrich
78 9 14	Vera Alexander
51 1 19	Richard Henderson
73 1 18	Helen Fenton
34 10 3	George Hindman
52 7 18	Frankie Evans
64 11 7	Johnathan Green
29 9 15	Dorothy Harris
8 0 9	Deborah Grantham
89 9 8	Denise Moody
70 11 7	Valerie George
29 0 30	Heidi King
51 7 30	Tracy Holt
70 6 18	Sherri Hines
62 10 11	Joshua Faison
67 9 17	Irene Rodriguez
53 10 0	Nicolette Bowen
28 6 24	William Moran
23 11 28	Steve Reeves
41 3 26	Fred Baldwin
73 0 15	Angel Drake
17 6 1	Laurence Rivera
70 6 5	Sherri Lopez
12 6 13	Clark Sullivan
42 10 19	Jeni Gracia
73 0 12	Barbara Huddleston
13 10 11	Robin Alvarado
44 4 25	Nelson Carvalho
58 5 17	Zada Carr
16 11 26	Terrell Richardson
83 0 16	Mildred Vargas
45 7 0	Inez Main
61 1 29	Annie Hampton
46 4 11	Eileen Jones
34 9 14	Sophia Ruiz
46 1 16	Estelle Coleman
28 1 6	Deborah Tackett
21 5 11	Andres Gonzales
9 2 19	Luz Hunt
86 8 5	Candelaria Meyer
59 11 14	Natasha Townsend
52 10 24	Nicolette Green
12 5 3	Jonathan Flynn
19 3 26	Norman Rogers
64 10 21	Sharon Benton
48 2 19	Patti Anderson
75 11 5	Martha Main
16 1 2	Khadijah Perry
76 6 10	Raymond Barnes
61 4 2	Margaret Robinson
72 5 27	Vera Fortune
78 11 30	Antoinette Campbell
46 4 27	Levi Benton
54 8 1	Pat Bryant
23 1 29	Joe Garcia
49 4 10	Christine Williams
34 9 9	Bobby Hall
83 1 25	Angie George
34 10 16	Angie Ward
17 11 5	Margaret Wright
49 9 20	Santiago Bryant
83 0 20	Maddie Simpson
40 0 11	Kimberly Coleman
70 5 4	Lillian Maier
21 11 0	Ernest Harrison
21 5 29	Terence Hill
11 7 11	Stephenie Roy
59 3 14	Ryan Ingram
36 4 22	Deborah Moran
72 7 8	Raymond Bryant
30 6 21	Inez Stewart
85 5 4	Jennifer Morgan
56 6 19	David Wilkins
40 8 11	Willie Norman
59 10 16	Margaret Henderson
77 8 22	Jane Hughes
88 4 13	Carley Sherman
26 7 5	Salvador Martinez
50 0 22	Cynthia Medina
30 8 22	Grace Diaz
19 9 8	Judith Green
51 10 15	Erica James
66 5 6	Marilyn Benton
20 9 6	Steve Campbell
23 2 18	Sherri Hughes
14 6 4	Ronald Copeland
47 8 12	Estelle Simpson
77 6 29	Vera Smith
78 11 12	Ashley Arevalo
36 10 29	Jose Reeves
73 10 17	Vera Brown
72 3 11	Hugh Davis
66 11 5	Levi Rivera
17 5 4	Frankie Campbell
35 6 1	George Orosco
39 6 14	Alan Olvera
69 10 4	Marshall Barlow
14 6 10	Anthony Reddick
65 5 10	Jorge Reed
54 10 11	Gordon Taylor
72 6 19	Calvin Neal
12 10 27	Dennis Medina
17 10 28	Sherri Tate
16 7 23	See Willis
66 7 21	Irene Ingram
85 0 15	Dawne Martinez
38 6 2	Melita Fenton
25 7 16	Claudine Cooper
44 4 25	Candelaria Hampton
88 10 14	Rebecca Roy
82 5 3	Annie Barlow
38 9 22	Angelika Young
40 3 9	Cynthia Hale
80 10 8	Joanne Kelley
81 0 19	Jennifer Barrett
50 0 1	Jose Faison
19 5 28	Andre Buchanan
52 8 25	Angel Drake
54 9 24	Zada Tackett
81 0 11	Marion Martin
8 9 1	Judith Foster
13 6 18	Herma Wilkins
9 9 10	Clark Roy
13 6 27	Elijah Pulliam
31 8 9	Cecil Buchanan
68 7 22	Earl Neal
49 9 29	Alycia Bennett
42 5 29	Jane Hutchings
17 9 12	Wayne Brown
47 3 4	Marilyn Perkins
76 7 27	Brian Bell
29 10 29	Patricia Martinez
36 1 3	Levi Huddleston
90 10 0	Andrea Alvarado
66 4 29	Nicholas Torres
31 8 28	Timmy Graves
74 7 17	Dawne Bowling
62 5 5	Gerard Lanham
44 2 26	Doris Lewis
16 10 1	Rebecca Harris
61 6 12	Erica Phillips
20 11 24	Kathy Wright
47 3 25	Glennis Holland
75 4 24	Irene Bass
58 10 29	Jeremy Norman
50 10 6	Sarah Carvalho
70 3 17	Barbara Stokes
21 2 3	Spencer Collins
61 0 24	Grace Bass
11 10 8	Melissa Parker
12 6 19	Clayton Sanders
61 4 5	William Norman
25 11 6	Gregory Hines
19 11 6	Johnathan Perez
89 8 26	Nelson Stewart
36 7 22	Wilson Johnson
36 11 25	Jacqueline Padilla
51 6 20	Dexter Peterson
22 10 19	Cheryl Yoon
66 2 23	Herma Holland
82 1 21	Tracy Willis
46 1 3	Annie Kelly
77 11 5	Jackie Nunez
17 6 25	Brandon Torres
46 11 28	Helen Perez
42 7 27	Lindsey Perkins
11 0 20	Rufus Holt
37 11 5	Andres James
31 1 11	Clark Barber
36 5 17	Chris Faison
32 1 24	Cheryl Alvarado
33 2 27	Christine Fenton
20 2 17	Brandon Martinez
23 5 23	Roy Sherman
42 4 12	Nicholas Henderson
47 0 4	Lillian Parker
82 2 25	Cheryl Miller
69 4 9	Karrie Dunn
61 7 0	See Drake
19 0 12	Nancy Bell
9 9 21	Jane Vaughn
29 9 3	Jeni Harrington
77 3 18	Alma Hall
40 1 19	Jeni Moran
39 10 23	Khadijah George
22 6 12	Eileen Harris
61 9 17	Rachel Evans
44 9 21	Brandon Main
12 5 17	Joe Ingram
27 4 22	Val Nunez
67 2 12	Jacqueline Casey
72 0 14	Timothy Bowen
67 3 24	Lila Aguilar
35 6 28	Barbara Cook
85 3 24	Erica Fleming
43 9 4	Jenifer Brown
61 9 19	Dani Harris
56 8 16	Marilyn Anderson
61 0 23	Joe Cox
29 4 30	Christine Arevalo
11 6 22	Pamela Reddick
90 2 19	Norman Drake
13 5 19	Dwayne King
18 4 4	Martha Baker
17 4 12	Darrin Ross
41 11 23	Katherine Marsh
90 9 6	Angelika Griffin
26 1 27	Janice Bowling
52 1 14	Sherri Banks
22 6 11	Khadijah Gray
51 5 1	Bryant Arevalo
76 9 17	Khadijah Sullivan
24 11 6	Aubrey Meyer
31 8 6	Kathy Maldonado
46 4 12	Zada Norman
23 11 20	Sarah Faison
25 6 5	Maddie Cooper
59 8 26	Eugenia Bailey
52 7 23	Stephenie Wilkins
51 3 14	Herma Reyes
14 2 17	Antoinette Murphy
12 6 24	Amanda George
54 5 14	Rufus Campbell
61 9 9	Andrea Banks
42 11 12	Pamela Hall
33 5 27	Janice Rivera
22 8 15	Angel Flaherty
70 3 28	Kasie Tackett
30 9 29	Terence Browne
22 7 11	Kimberly Simpson
69 2 6	Wayne Flores
83 0 1	Alycia Walters
24 3 28	Valerie Tiller
15 6 2	Khadijah Brown
70 6 8	Levi Hale
29 0 12	Irene Alexander
13 3 10	Gerard Barrett
29 0 21	Laura Bennett
88 3 24	Kelly Jackson
78 11 16	Angel Townsend
10 1 25	Krissy Neal
66 4 10	Gerard Reddick
71 7 25	Rosie Perez
25 4 9	Lindsay Lopez
80 9 25	Adam Butler
78 10 22	Hsiu Butler
69 6 22	Elvina Tate
11 6 5	Maddie James
34 10 2	Herma Richardson
38 2 28	Santiago King
47 8 10	Lucia Anderson
45 6 18	Joe Alexander
65 5 22	Eugene Bailey
43 11 12	Maddie Wilson
11 0 18	Terry Peters
64 5 2	Andres Richardson
19 6 28	Jason Fenton
87 1 3	Jean Bryant
54 1 22	Wilson Baker
46 10 14	Kenneth Jenkins
17 4 17	Wayne Hernandez
63 3 22	Terence Watson
66 10 28	Antoinette Griffin
82 9 18	Wilmer Patterson
69 7 16	George James
76 1 26	Mary Sterling
55 11 7	Lila Simmons
42 7 1	Kenneth Shuman
18 0 24	Maddie Rodriguez
9 5 11	Calvin Meyer
57 0 15	Ernest Smith
69 2 6	Patricia Brooks
51 0 24	Jonathan Scott
48 3 12	Willie Maier
75 2 2	Khadijah Reid
89 4 3	Patti Turner
63 5 15	Terrell Lamb
71 3 17	Walter Gonzalez
70 7 9	Andrew Rhodes
63 10 13	Heidi Boyle
80 9 29	Eugenia Steadman
86 8 6	Carl Lanham
84 1 13	Valerie Morgan
60 10 11	Gary Pibbles
14 10 8	Teresa McDaniel
27 5 23	Doris Main
72 0 8	Jeni Flynn
76 6 23	Martin Bass
78 11 21	Wayne Cooper
77 11 6	Teresa Howard
24 11 1	Johnny Bennett
25 5 24	Amanda Rivera
47 1 27	Alejandro Cox
68 3 21	Wilson Stokes
44 3 2	Julie Pibbles
79 0 16	Wade Anderson
54 5 20	Gerard Casey
56 4 21	Niki Campbell
67 1 23	Brandon Stokes
41 3 16	Jose Bennett
8 1 30	Rose Fenton
84 10 24	Arthur Sterling
64 0 24	Joe Hollins
79 4 5	Kasie Russell
76 6 7	Richard Mabry
50 3 9	Ken Cook
17 11 29	Maria Ingram
83 10 25	Johnny Davis
45 8 18	Andrew Flores
82 7 1	Kasie Lee
50 0 2	Kim Dunn
64 1 12	Samual Cox
43 2 27	Max Moran
76 8 30	Martin Walker
76 10 22	Ernest Kelley
43 8 2	Melita Evans
37 4 27	Charles Drake
17 8 25	George Holland
54 2 6	Ryan Johnson
83 5 14	Teresa Faison
69 11 17	Zada Moran
69 9 12	Clarence Ingram
46 10 1	Jack Whitworth
28 9 8	Michael Tackett
49 5 13	Belinda James
35 0 5	Niki Sherman
71 10 4	Patricia Perez
75 0 16	Khadijah Sterling
52 6 2	Luz Griffin
63 10 1	Angel Knight
51 7 25	Pamala Wilkins
77 8 30	Erica Marsh
42 2 19	Howard Holloway
47 4 7	Rafael Bennett
86 7 1	Vera Price
24 1 12	Robin Barnes
32 0 18	Ronald Blanton
32 2 19	Julie Simmons
72 4 25	Brandon Powell
86 0 16	Andre Paul
81 3 19	Andrew Thomas
51 7 12	Nicholas Platt
78 0 28	Diana Reddick
83 9 22	Charles Davis
32 1 8	Janet Browne
23 6 4	Jane Bell
75 10 14	Val Lee
28 6 14	Margaret Hindman
70 0 19	Jonathan Lindsey
24 0 27	Hsiu Walters
30 10 23	Hsiu Brooks
43 8 8	Cynthia Ingram
65 11 30	Rufus Casey
88 5 19	Wanda Sterling
84 1 19	Janice Harrington
74 10 22	Helen Pulliam
82 11 12	Natalie Seymore
41 3 14	Jason Young
71 8 8	Benjamin Richardson
31 9 25	Annie Henderson
62 3 13	Raymond Harvey
75 6 23	Carley Reyes
75 10 26	Wade Fortune
88 6 22	Katherine Phillips
64 4 11	Benjamin Mabry
89 4 13	Doris Hardy
56 1 22	Andrea Green
67 10 3	Shani Lopez
27 2 21	Wade Reddick
55 10 10	Barbara Yoon
21 2 24	Pamela Smith
47 10 5	Terence Baumann
76 6 20	Angel Fleming
86 5 13	Ashley Scott
76 5 10	Brandon Jenkins
14 7 12	Eloise Brown
82 6 7	Lillian Bennett
15 6 9	Marion Perkins
62 8 18	Krissy Gracia
57 11 16	Shrimply Smith
8 9 4	Margaret Baldwin
61 7 15	Lindsay King
89 1 18	Nelson Bennett
34 11 20	Oretha Brooks
76 11 16	Joshua White
19 11 14	Spencer Taylor
32 0 26	Wayne Seymore
21 5 9	Jonathan Watson
43 4 17	Catherine Kelly
9 8 1	Anya Robinson
89 5 30	Erica Patterson
51 10 13	Nicholas Clark
51 10 1	Timmy Hines
59 9 0	Dani Arevalo
69 0 12	Inez Wood
71 10 29	Norman Hardy
58 6 2	Joanne Mccune
28 7 19	Teresa Flores
68 5 3	Nicolette Coleman
31 6 11	Diana Bailey
16 4 10	Rose Reeves
84 6 11	Rosie Knight
80 4 25	Lynn Lopez
55 4 5	Val Harrington
48 8 17	Gregory Butler
55 7 23	Melissa Hampton
71 3 12	Norman Doyle
40 0 28	Edward Holt
13 5 25	Deborah Benton
83 3 27	Susan Vaughn
43 2 9	Elvina Adams
56 6 20	Dennis Sanchez
76 0 6	Lila Hill
26 8 11	Lynn Tate
78 9 2	Timmy Barrett
57 10 17	Rebecca Ruiz
37 1 3	Dani Collins
86 6 9	Ronald Flynn
19 10 9	Irene Adams
84 4 26	Diane Long
88 8 30	Johnathan Green
60 8 24	David Baker
29 8 28	Janet Wright
22 2 15	Eugenia Flowers
38 7 9	Susan Stokes
27 2 14	Alycia Hall
37 1 21	Terence Murphy
20 1 4	Kathleen Duong
29 3 9	Jackie Simpson
69 4 25	Estelle Rivera
56 2 27	Cecil Gonzalez
62 9 20	Val Clark
11 3 30	Wade Lopez
36 0 0	Marie Parker
18 3 19	Nancy Harrington
9 6 27	Chris Butler
48 6 10	Ernest Peters
84 8 11	Rachel Roy
28 7 9	Casey Russell
52 0 21	Ken Ball
23 2 20	Kevin Campbell
20 1 17	Gregory Lee
39 3 1	Jackie Lewis
90 1 2	Dani Reeves
26 0 9	Brian Henderson
85 10 7	Jean Scott
19 8 6	Clarence Huddleston
36 11 19	Wade Bryant
13 9 4	Roy Rhodes
87 10 2	Max Brown
78 4 23	Marilyn Rogers
90 9 21	George Porterfield
57 10 13	Joanne Watson
57 5 17	Benjamin Johnson
28 10 11	Wanda Dennis
89 6 25	Inez Steadman
44 8 14	Wilmer Hughes
49 10 2	Santiago Henderson
11 6 27	Gary Olvera
76 7 10	Michael Mccune
18 0 24	Wilmer Seymore
17 0 28	Laura Robinson
60 1 28	Jean Bailey
9 2 18	Grace Banks
77 4 8	Margaret Hughes
78 6 18	Earnest Barnes
50 0 23	Johnathan Hollins
14 8 4	Kasie Anderson
35 4 13	Pat King
30 2 14	Erica Bass
36 10 11	Ashley Faison
20 2 30	Ashley Hunt
18 8 4	Delaine Rodriguez
56 10 4	Clayton Reed
58 11 16	Nicholas Bryant
39 10 5	Krissy Vega
27 4 28	Lila George
63 9 18	Inez Caraballo
47 9 7	Timothy Butler
84 3 2	Stephenie George
45 8 4	Angie Lee
72 4 19	Wilson Hindman
46 8 30	Nicolette Weaver
52 1 28	Kimberly Williams
39 8 12	Christine Hardy
28 0 30	Benjamin Bowen
33 9 28	Maddie Barnes
9 11 8	David Bennett
33 3 13	Timothy Townsend
10 8 14	Inez Hall
44 5 19	Andrew Baldwin
84 5 5	Randee Henderson
11 1 3	Kim Barnes
27 1 13	Lynn Washington
50 2 28	Valerie Barlow
28 0 1	Hugh Barnes
42 8 17	Susan Paul
13 5 27	Andre Davis
37 0 3	Delaine Baldwin
63 2 15	Wade Harvey
26 8 15	Doris Vaughn
61 0 14	Jorge Watson
65 2 25	Jose Porterfield
31 5 5	Doris Rodriguez
27 2 11	Hugh Hindman
45 5 9	Wilmer Griffin
78 0 25	Ronald Brooks
75 11 23	Anthony Butler
15 7 17	Doris Harrington
21 11 10	Annie Walker
41 0 14	Marilyn White
40 3 7	Eugene Wood
66 10 23	Jeni Hutchings
21 7 22	Eliana Duong
78 8 16	Johnny Hubbard
86 1 30	Germaine Flowers
9 6 18	Susan Mabry
85 10 25	Darrin Ramirez
90 8 12	Gary Porterfield
65 7 11	Jackie Thomas
89 7 10	Sharon Walker
18 10 3	Jackie Bowen
72 8 11	Collen Evans
58 2 20	Tammy Hill
9 7 3	Laurence Flynn
22 6 28	Wanda Gonzales
87 3 3	Ramiro Davis
54 6 17	Helen Morgan
15 7 12	Alma Barber
12 11 4	Nancy Cook
64 10 6	Rufus Vargas
50 2 28	Robin Turner
45 11 9	Erica Ward
59 3 24	Karrie Jenkins
61 3 13	David Coleman
36 5 9	Zada Porterfield
50 4 4	Alice Hines
35 9 27	Felipe Bennett
58 10 20	Robin Mccune
57 3 7	Andrea Norman
50 4 19	Adam Fenton
60 4 22	Jacqulyn Harvey
13 11 2	Timothy Copeland
52 5 17	Margaret Roy
18 10 23	Amanda Thomas
66 8 17	Valerie Buchanan
58 10 10	Maryalice Martinez
38 3 10	Gregory Bowling
36 3 10	Betty Dennis
16 9 7	Dani Coleman
82 9 8	Anthony Cooper
54 8 8	Jacqulyn Clark
39 8 7	Terrell Tate
24 6 5	Dorothy Edwards
48 7 17	Natalie Baker
28 2 9	Brandon Alvarado
26 2 2	Lonnie Sullivan
58 9 21	Hsiu Jones
22 1 15	Brandon Lee
55 1 5	Shani Taylor
86 10 28	Natasha Rivera
55 5 9	Laura Peters
89 11 15	Tammy Wright
86 5 25	Helen Reddick
31 4 23	Maddie Lanham
89 7 20	Michael Bell
14 3 16	Alan Long
53 7 7	Rafael Maldonado
62 2 22	Marie Dennis
52 5 2	Doris Collins
65 1 23	Valerie Meyer
37 5 17	Catherine Anderson
58 6 1	Candelaria Freeman
41 4 17	Tracy Lindsey
82 10 18	Wayne Gonzales
77 3 0	Anthony Fleming
80 7 8	Dexter Ward
9 2 12	Kathy Patterson
36 6 25	Laurence Tiller
68 2 7	Sarah Hill
78 10 4	Martha Scott
90 1 16	Val Horan
47 3 25	Stephenie Knight
12 5 23	Wayne Mitchell
36 1 17	Andre Taylor
23 8 22	Kimberly Harris
60 10 13	Felipe Barlow
86 9 3	Belinda Alvarado
71 9 25	Spencer Caraballo
49 2 27	Michelle Roland
65 1 2	Bobby Harvey
54 10 21	Salvador Ruiz
34 9 10	Laurence Norman
66 10 12	Aida Huddleston
49 8 28	Lucia Graves
34 11 16	See Sanders
76 0 19	Irene Lane
33 0 23	Josphine Gracia
82 11 11	Norman Green
11 10 26	Josphine Horowitz
35 9 23	Ella Willis
67 1 19	Dexter Johnson
13 7 20	Cynthia Baldwin
21 11 22	Frankie Hale
90 8 9	Roy Blanton
44 11 16	Wanda Rhodes
34 8 16	Anna Flynn
27 8 18	Patti Bennett
15 8 26	Herma Harrington
76 6 14	Annie Richardson
24 0 10	Delaine Cox
62 6 24	Carl Phillips
28 6 23	Karen Bailey
73 6 13	Angel Seymore
9 4 3	Eileen Paul
10 1 10	Lila Wilkins
76 9 17	Joe Gonzales
74 2 0	Bryant Webb
32 4 1	Casey Jones
37 7 10	Dorothy Rivera
15 7 17	Myron Bryant
63 0 19	Patti Long
67 1 29	Sarah Scott
16 2 25	Heidi Harrison
16 6 11	Kim Hernandez
46 11 1	Rosie Baldwin
55 2 19	Patti Copeland
47 8 17	Charlene Phillips
11 1 8	Khadijah Hutchings
27 5 21	Krissy Roberts
26 2 18	Bobby Harrington
73 6 27	Krissy Walters
73 6 21	Joanne Harrington
70 2 20	Joanne Steadman
64 10 18	Vera Brown
30 2 18	Rachel Wheeler
54 6 12	Johnathan Brooks
15 0 15	Jackie Cox
43 1 14	Ernest Ruiz
8 2 25	Kimberly Marsh
43 1 19	Rachel Maier
48 8 11	Norman Kelley
71 3 9	Bryant Watson
60 8 2	Jennifer Brown
28 9 27	Jane George
76 6 27	Tracy Lane
12 5 7	Rosie Green
80 2 2	Valerie Adams
10 7 29	Julie Weaver
47 0 4	Laura Ball
70 2 29	Mary Holt
80 0 16	Zachary Casey
34 5 17	Mildred Sherman
78 9 24	Timothy Hall
44 11 11	Sophia Aguilar
69 4 22	Herma Bell
87 7 29	Timmy Hardy
51 0 16	Nicholas Campbell
49 6 16	Richard Olvera
58 11 11	Dexter Shuman
38 6 10	Wanda Morris
47 1 27	Eileen Hudson
56 0 15	Ryan Gonzalez
88 5 11	Claudine Wilson
9 0 3	Pamala Bowling
81 3 28	Hugh Hunt
53 0 28	Jason Harrison
55 0 7	Terry Weaver
59 9 13	Cecil Knight
80 6 2	Shani Platt
43 1 21	Jose Hollins
85 1 16	Fred Harris
27 0 11	Tracy Tackett
11 11 14	Shani Holland
50 3 4	Lillian Hollins
45 3 12	Kevin Gonzalez
74 10 8	Lindsay Payne
77 2 8	Rosie Benton
17 1 26	Herma Goodrich
39 11 11	Tammy Ingram
57 1 18	Terrell Baldwin
77 8 27	Myron Harrison
44 1 14	Zada Brown
86 0 2	Denise Griffin
48 9 14	Helen Vega
23 10 2	Ashley Norman
64 3 10	Tammy Meyer
34 5 7	Shanelle Baker
81 10 18	Andrea Gracia
26 9 6	Tracy Allen
27 11 30	Michelle Lee
47 10 30	Ryan Hill
35 10 25	Mildred Steadman
15 0 22	Rosie Long
85 0 12	Eugenia Maldonado
13 10 13	Pamala Bennett
39 3 11	Karrie James
69 10 20	Cynthia Blanton
27 1 3	Stasia Knight
72 0 27	Erica Hughes
14 7 25	Jean Allen
46 6 15	Adam Harrison
37 6 5	Nancy Perez
29 10 1	Jeni Archer
22 2 30	Andres Thompson
23 11 23	Dennis Moody
15 2 25	Marie Rogers
87 3 19	Annie Adams
42 4 27	Natasha Banks
50 9 7	Lindsay Porterfield
47 0 25	Dawne Davis
85 9 9	Casey Arevalo
51 3 9	Santiago James
54 0 11	Lucia Doyle
18 8 19	Herma Huddleston
68 9 29	Clark Carr
37 5 19	Nancy Rivera
72 0 30	Mary Holt
34 7 0	Alice Paul
30 11 6	Estelle Wilson
79 3 14	Bryant Humphrey
52 1 22	Nicholas White
60 3 29	Claudine Bennett
64 11 13	Dexter Brockman
67 1 20	Carley Bass
16 7 12	Salvador Holt
56 9 20	Shani Patterson
67 8 8	Jack Henderson
43 9 25	Martin Ball
66 0 20	Germaine Hughes
30 7 9	Walter Tate
75 11 14	Arthur Sterling
58 5 24	Dawne Bailey
32 5 22	Mildred Reed
57 4 13	Terry Flynn
38 2 3	Christopher Benton
58 6 8	Anna Foster
83 10 17	Deborah Knight
37 2 8	Catherine Webb
42 6 17	Zachary Olvera
42 8 18	Calvin Payne
40 11 4	Brandon Humphrey
41 7 17	Candelaria Maldonado
37 0 2	Eliana Washington
84 6 17	Joe Sherman
38 7 11	Dani Griffin
28 2 25	Andrea Banks
81 8 23	Clarence Griffin
40 3 6	Khadijah Drake
33 2 29	Marion Foster
30 5 8	Rosie Patterson
10 1 18	Michael Long
71 4 23	Kim Platt
18 6 25	Kenneth Edwards
32 0 29	Candelaria Gonzalez
80 1 1	Kelly Lewis
50 7 26	Marjorie Sherman
85 7 9	Frankie Arevalo
63 3 11	Jackeline Collins
31 8 16	Jane Meyer
36 0 24	Kim Barrett
83 6 17	Rose Thompson
74 6 7	Mary Moore
43 10 10	Julie Vargas
41 4 0	Mildred Archer
71 5 7	Germaine Coleman
65 5 16	Earnest Caraballo
57 2 26	Cecil Lanham
60 1 9	Irene Green
55 1 8	Josphine Fenton
25 6 12	Robin Stokes
10 6 14	Laura Blanton
42 4 11	Jose Henderson
78 6 15	Adam Anderson
14 8 4	Aida Tiller
46 1 29	Carl Mitchell
