3430
29 6 7	Myron Dunn
28 10 20	Nicholas Shuman
80 5 19	Frankie Blanton
72 5 3	Zachary Fenton
41 11 13	Cynthia White
45 7 15	Nicholas Knight
42 6 4	Eugene Bowen
60 8 12	Brandon Hampton
82 9 14	Shrimply Steadman
85 9 18	Brian Flaherty
90 7 11	Lynn Richardson
33 8 0	Felipe Murphy
83 8 8	Benjamin Foster
83 3 3	Oretha Bryant
11 10 20	Shrimply Perkins
60 11 10	Aida Thompson
80 6 9	Carley White
16 9 6	Levi Dean
24 9 21	Gregory Martin
27 8 17	Laurence Hunt
14 9 1	Steve Paul
38 10 23	Jane McDaniel
31 5 9	Marilyn Yoon
78 9 6	Sarah Tiller
82 10 8	Melita Roberts
46 10 0	Herma Fenton
47 5 6	Inez Harrington
30 1 16	Annie Butler
11 3 13	Roger Drake
46 6 6	Lillian Carter
62 5 0	Brandon Huddleston
15 6 28	Earnest Vega
58 4 21	Bryant Holland
30 0 25	Natasha Evans
61 0 0	Robin Sherman
8 2 5	Rufus Holland
75 3 17	Erica Watson
30 8 0	Santiago Hudson
70 10 14	Jane Holt
8 2 10	Belinda Foster
55 4 3	Melita Henderson
62 1 15	Niki Foster
25 7 4	Cynthia Garcia
23 6 15	Val Murphy
12 0 14	Andrea Baumann
51 0 21	Rachel Butler
22 0 25	Angelika Cook
18 7 29	Pat Gonzalez
40 8 1	Teresa Murphy
23 5 29	Myron Cooper
82 7 22	Salvador Green
38 2 21	Germaine Seymore
58 5 5	Bobby Shuman
65 11 2	Hugh Knight
83 4 27	Annie Stokes
55 9 27	Marie Ingram
52 6 12	Alice Baker
83 6 27	Nancy Lee
46 3 21	Earnest Cox
35 3 3	Levi Hollins
66 10 13	Stephenie Orosco
18 10 23	Martin Bell
22 11 23	Teresa Vargas
89 7 23	Dennis Peters
20 1 13	Ramiro Baldwin
39 2 7	Deborah Bass
51 8 17	Cynthia Dean
47 7 29	Nancy Dean
12 6 27	Bobby Fleming
60 1 29	Donald Drake
30 9 0	George Doyle
66 4 19	Pamela Sullivan
79 1 1	Germaine Ball
64 3 7	Zachary Alexander
39 1 22	Stephenie Nelson
54 6 17	Christopher Buchanan
25 7 28	Wilmer Holland
74 0 3	Benjamin Flowers
35 6 28	Sharon Pibbles
22 0 13	Ken Adams
85 11 4	Stephenie Aaron
50 6 19	Terrell Bennett
78 2 8	Judith Copeland
71 0 6	Jackeline Graves
10 11 29	Felipe Maier
61 0 15	Fred Mitchell
32 2 26	Aaron Webb
66 4 21	Roger Holloway
71 9 2	Lila Rivera
21 3 13	Raymond Goodrich
75 3 7	Dorothy Coleman
55 2 9	Calvin Harris
11 1 14	Angelika Coleman
45 3 10	Shani Gonzalez
44 2 0	Nicholas Dennis
66 10 1	Mary Blanton
41 10 26	Treva Dean
15 4 6	Terence Graves
22 8 15	Jorge Turner
80 10 30	Kim Collins
21 10 6	Devin Long
71 1 18	Zada Miller
30 3 21	Elvina Allen
46 3 18	Natalie Tackett
82 1 26	Samual Evans
62 3 2	Martin Franklin
27 0 20	Andrew Sullivan
66 5 27	Ella Browne
48 11 3	Jeremy Harris
68 8 5	Germaine Perez
69 0 1	Jorge Blanton
12 0 5	Andrew Ross
37 10 13	Eliana Drake
54 3 2	Lillian Rodriguez
58 6 30	Niki Lewis
21 8 25	Jean Holt
24 9 7	Barbara Duong
89 11 29	Rachel Roy
53 7 1	Wayne Brockman
79 10 10	Kevin Simpson
74 10 11	Shrimply Barlow
82 9 16	Ella Jackson
65 1 25	Anna Paul
54 9 18	Anthony Bowling
27 9 0	Pamala Knight
56 1 12	Natasha Wilkins
57 5 13	Elvina Taylor
31 11 19	Teresa Alvarado
56 6 10	Maria Carr
69 9 30	Candelaria Horowitz
68 3 13	Shani Gonzalez
12 10 17	Jacqulyn Simpson
25 9 21	Spencer Barth
14 3 28	Jose Porterfield
57 0 3	Timothy Reyes
72 7 25	Joe McDaniel
39 8 25	Carl Peterson
28 2 25	Salvador Simmons
10 3 11	Inez Townsend
45 7 18	Earnest Wilkins
13 4 10	Kathy Buchanan
85 11 24	Max Lee
16 3 13	Charles Lopez
46 9 27	Wayne Aguilar
79 7 17	Nicolette Williams
15 11 19	Roger Foster
70 11 21	Candelaria Lee
14 11 6	Angelika Sterling
84 4 19	Lynn Harvey
29 1 16	Eileen White
85 11 25	Candelaria Thompson
80 10 9	Natasha Sanders
24 4 30	Tammy Nelson
48 11 29	Earnest Vargas
46 10 6	Niki Wilson
11 7 30	Angelika Baumann
18 5 29	Valerie Rogers
89 0 9	Heidi Orosco
31 3 3	Herma Gonzales
76 5 13	Antoinette Howard
57 6 1	Lonnie Aguilar
33 2 5	Wayne Aaron
84 4 13	Robin Hines
15 4 6	Shani Clark
85 3 21	Lucia Lamb
41 0 7	Nicholas Boyle
40 8 17	Pamala Moran
72 10 29	Fred Watson
73 4 19	Bobby Willis
40 2 18	Christopher Butler
55 4 15	Jane Grantham
57 0 3	Kevin Harrington
86 11 28	Earl Ramirez
87 4 28	Martha Henderson
42 1 28	Brian McDaniel
78 6 18	Elijah Nunez
55 8 15	Rose Cooper
81 3 12	Bobby Harvey
44 1 0	Jennifer Harrington
8 7 4	Christopher Horowitz
70 8 26	Aida Townsend
50 7 1	Kathleen Tiller
78 5 21	Maryalice Goodrich
56 11 24	Lonnie Hampton
38 9 12	Nancy Anderson
87 1 22	Donald Bailey
59 5 0	Jackie Medina
9 0 1	Doris Parker
12 9 21	Jane Medina
56 10 28	Maryalice Dean
76 2 21	Salvador Carvalho
26 8 1	Ken Brown
39 7 0	Kimberly Bowen
89 4 5	Terry McDaniel
58 7 17	Sherri Cox
10 5 6	Nicholas Tate
73 3 12	Frankie Main
29 3 21	Willie Taylor
85 1 30	Josphine Shuman
8 7 11	Brandon Henderson
76 1 30	Angie Green
84 10 28	Joe Willis
28 2 9	Willie Barlow
36 2 7	Joshua Bowling
10 9 26	Hsiu Walker
17 6 30	Shani Coleman
35 5 11	Jean Sullivan
79 1 7	Diane Evans
88 1 4	Jane Nunez
16 0 22	Heidi Roy
47 11 30	Claudine Campbell
75 9 13	Lucia Gonzalez
36 8 6	Diane Neal
63 7 14	Levi Blanton
23 6 24	Carley Nelson
24 0 28	Robin Hill
72 8 7	Deborah Miller
37 5 8	Jean Barnes
79 8 19	Belinda Flowers
75 3 19	Niki Moran
74 5 11	Terry Sanders
38 11 26	Ronald Wagner
75 11 12	Randee McDonald
29 6 26	Fred Hale
85 3 19	Terrell Bowen
83 9 0	Candelaria Garcia
72 2 19	Steve Griffin
60 11 25	Kelly Johnson
50 11 15	Luz Watson
74 10 19	Cynthia Diaz
49 5 15	Rebecca Cook
57 9 10	Angelika Hollins
89 7 13	Gordon Sullivan
58 7 8	Martin Franklin
85 10 4	Khadijah Sanchez
23 7 24	Hugh Harrington
58 0 6	Sherri Simpson
38 10 4	Melita Roland
85 3 11	Shani Shuman
83 1 17	Carley Faison
13 9 24	William Torres
81 10 24	Patricia Henderson
11 11 12	Lynn Martin
59 4 29	Michael Aguilar
89 8 23	Terrell Morris
86 7 14	Josphine Taylor
42 2 7	Glennis Kelly
48 8 5	Nicolette Watson
55 1 1	Eileen Russell
31 2 20	Belinda Sanchez
24 1 24	Alan Stokes
83 7 22	Glennis Foster
82 10 20	Marshall Reddick
31 2 19	Patricia Drake
57 1 6	Angelika Harris
85 8 9	Susan Henderson
86 9 15	Natasha Taylor
21 6 17	Carl Hutchings
31 4 6	Tammy Hernandez
69 5 25	Barbara Moran
31 10 15	Jacqueline Wilson
83 11 5	Jenifer Peterson
16 7 1	Kimberly Orosco
57 9 7	Charles Bailey
16 7 21	Marion Long
77 7 17	Kelly Hale
16 11 15	Martin Clark
36 8 10	Wilmer Neal
43 10 19	Sharon Dunn
51 11 19	Joanne Aguilar
67 6 2	Robin Webb
28 5 25	Bobby Bowen
40 0 0	Bobby Reid
25 9 1	Ronald Johnson
81 8 22	Bryant Coleman
34 11 6	Spencer Lamb
18 0 11	Ryan Platt
83 3 7	Timothy Thomas
90 3 25	Randee Barrett
22 7 15	Angie Robinson
14 1 1	Candelaria Edwards
57 0 9	Carl Flynn
90 7 5	Brandon Medina
26 9 17	Angel Hill
65 6 9	Val Faison
55 7 29	Eliana Wright
87 2 13	Candelaria Flaherty
47 5 16	Donald Price
31 11 25	Ivan Gray
80 8 5	Lillian Carvalho
67 3 24	Oretha Miller
30 6 10	Vera Horowitz
40 5 26	Jacqulyn Harris
55 7 7	Sherri Webb
34 10 0	Charles Reddick
10 3 29	Erica Wilson
46 1 1	Angel Ball
57 11 6	George Padilla
83 0 24	Jacqueline Humphrey
89 8 8	Alma Lane
15 0 20	Jason Harris
44 11 6	Inez Hughes
55 3 17	Ashley Faison
68 3 5	Diane Hale
36 2 11	Lynn Mabry
78 9 25	Earl Jones
45 0 29	Gordon Gray
63 8 7	Nancy Flaherty
39 1 13	Marion Kelley
17 9 7	Belinda Cook
56 8 12	Kevin Martin
39 1 29	Jason Horan
9 7 23	Jason Thompson
35 10 29	Claudine Green
49 3 6	Edward Shuman
47 11 21	Marion Holland
73 11 4	Timmy Horowitz
62 3 10	Clayton Roberts
65 2 2	Timothy Price
25 7 18	Jennifer Harris
82 9 1	Spencer Wood
90 4 20	Pamela Martinez
24 0 6	Levi Price
72 8 4	Marion McDonald
43 9 12	Heidi Smith
55 2 20	Donald Coleman
75 11 9	David Ruiz
45 10 24	Marshall Flynn
68 3 10	Jeni Gonzales
10 11 3	Natasha Miller
87 6 11	Stasia Reyes
9 8 0	Annie Baumann
37 11 14	Laurence Wagner
9 3 27	Alice Gray
75 6 4	Barbara Reed
79 1 18	Dorothy Bowen
36 3 30	Mary Watson
50 8 16	Anya Lopez
26 5 30	Cynthia Green
25 9 24	Eugenia Gonzales
56 2 2	Erica James
66 11 14	Jean George
63 7 0	Alejandro Holland
73 11 25	Marie Benton
33 10 25	Ashley Anderson
44 6 19	Michelle Huddleston
10 0 7	Shrimply Scott
47 10 11	Pamala Archer
40 3 14	Nancy Moran
74 11 23	Helen Rhodes
77 5 13	Sharon Williams
14 5 23	Nancy Norman
70 8 8	Ernest Campbell
34 6 15	Rosie Maier
50 3 16	Dexter Moran
84 1 21	Mildred King
64 8 0	Wilmer Hale
82 6 28	Marshall Thomas
81 4 26	Norman Shuman
37 4 18	Dani Green
27 7 2	Joe Rhodes
30 5 26	Jackeline Paul
63 2 2	Steve Campbell
69 5 22	Lonnie Powell
87 9 12	Brandon Allen
87 7 1	Annie Martin
82 2 8	Chris Mabry
62 10 1	Benjamin Mitchell
58 3 19	Estelle Flowers
24 8 24	Eileen Gonzales
49 5 14	Annie Jones
35 6 6	Terence Foster
85 4 2	Sherri Main
50 10 15	Ivan Diaz
39 3 29	Max Vargas
52 0 1	Dawne Harris
30 11 28	Salvador Lamb
87 5 7	Kevin Young
10 6 23	Amanda Harris
71 1 4	Casey Taylor
28 5 3	Jeni Gonzalez
36 1 5	Mary Long
15 9 12	Arthur Banks
68 5 6	Roger Powell
58 8 28	Wayne Thompson
10 10 0	Luz Bailey
90 4 0	Eileen Carter
63 0 1	Janice Campbell
24 7 11	Krissy Hernandez
58 4 9	Lynn Bailey
48 5 27	Michael Moore
43 2 26	Gordon Holloway
16 6 18	Brandon Browne
39 0 21	Karen Hardy
54 11 27	Dawne Mitchell
14 11 0	Nancy Flynn
84 8 21	Jackie Garcia
25 0 5	Brandon Lopez
16 1 17	Luz McDaniel
86 4 22	See Campbell
46 10 18	Aubrey Phillips
67 2 3	Dennis Holloway
54 1 11	Julie Butler
27 10 10	Pat Bell
45 0 28	Lucia McDonald
67 11 2	Margaret Meyer
35 3 6	Walter Carvalho
18 4 2	Clayton Archer
37 2 17	Karen Hubbard
38 0 11	Johnathan Parker
86 4 12	Marion Vargas
29 6 18	Patricia Alexander
57 9 23	Joanne Campbell
11 10 0	Mary Aguilar
11 4 24	Max Wilkins
86 11 11	Deborah Stokes
79 8 5	Patricia Browne
33 0 16	Kim Seymore
47 6 19	Edward Hall
35 7 9	Angel Morris
46 11 21	Rafael Pibbles
31 3 24	Rebecca Robinson
76 0 13	Fred Gonzalez
76 1 10	Marion Harrison
50 2 23	Belinda Evans
54 3 20	Johnny Moody
57 3 27	Wilson Goodrich
68 1 26	Karen Wilkins
85 1 5	Andre Horowitz
18 5 30	Karen Henderson
39 9 2	Kenneth Baker
84 7 14	Nicholas Russell
54 7 5	Eugene Mitchell
26 5 9	Natalie Barrett
56 3 4	Levi Steadman
59 9 20	Margaret Butler
20 7 27	Darrin Maldonado
78 4 25	Oretha Murphy
33 4 9	Mildred Tiller
86 1 3	Salvador Townsend
44 4 9	Kevin Peterson
71 6 14	Willie Hall
75 11 16	Jorge Brooks
71 11 12	Marshall Duong
32 5 20	Fred Seymore
9 4 9	See Lamb
18 0 17	Kelly Ward
80 9 3	Vera Morris
46 3 5	Roy Reid
75 0 15	Jackie Allen
75 2 3	Rosie Wilson
68 11 15	Andre Graves
16 3 14	Natasha James
44 2 10	Angie Mccune
32 0 15	Teresa Roberts
85 3 23	Nicholas Edwards
65 10 13	Andres Carr
58 10 0	Rosie Yoon
71 7 28	Jane Maier
72 0 3	Kathy Baumann
73 0 4	Alma Faison
28 3 20	Anthony Franklin
16 11 13	Germaine Foster
27 1 19	Doris Moore
76 7 5	Ashley Mitchell
86 1 14	Heidi Bowling
29 6 21	Mildred Bell
17 1 21	Benjamin Olvera
9 1 8	Patti Flores
26 9 25	Margaret Murphy
22 9 26	Jeni Lindsey
47 9 16	Lindsey Flaherty
76 6 6	Krissy Powell
57 4 28	Wanda Watson
59 3 24	Stephenie Marsh
35 8 20	Zada Huddleston
8 9 2	Lillian Rogers
72 11 27	Jenifer Lopez
40 4 21	Kimberly Perez
13 10 19	Carley Neal
28 6 18	William Bass
11 10 1	Hsiu Brown
89 3 22	Kevin Taylor
66 8 19	Norman Yoon
64 9 26	Patricia Roland
43 7 3	Katherine Brown
74 7 30	Brian Bryant
9 10 19	Earnest Walters
30 10 0	Santiago Jones
15 6 15	Dorothy Scott
69 1 6	Susan Barber
61 0 16	Martin Miller
63 1 14	Lillian Gray
75 6 8	Jeni Perez
74 7 30	Brandon Miller
80 4 0	Helen Mitchell
46 3 24	Janet Meyer
9 1 21	Eloise Harvey
60 7 5	Earl Olvera
57 6 12	Raymond Vega
11 10 22	Margaret Caraballo
65 11 24	Erica Stokes
60 5 5	Candelaria Robinson
47 3 23	Clarence Knight
60 4 7	Mary Baumann
35 0 27	Alma Evans
55 5 21	Irene Banks
74 1 4	Brandon Wagner
53 0 24	Claudine Barlow
38 10 7	Laurence Neal
88 9 28	Johnny Morris
73 4 9	Jane Horowitz
37 10 7	Rose Grantham
88 10 21	Eloise Martin
51 10 10	Patricia Aaron
43 2 3	Melissa Martin
34 5 16	Nelson Gray
71 8 8	Jane Barlow
14 6 19	Randee Collins
19 2 18	Anya Willis
9 6 25	Ken Webb
62 2 28	Laurence Carter
85 5 15	Elvina Taylor
76 9 1	Wilson Maier
13 3 9	Antoinette McDaniel
60 6 28	Nelson Allen
36 7 21	Alma Edwards
64 0 14	Andrea Porterfield
75 5 22	Rosie Kelley
87 11 0	Doris Lindsey
21 2 1	Eileen Foster
82 6 8	Arthur Orosco
12 6 24	Pamela Powell
32 8 2	Nicholas Knight
10 0 9	Richard Dunn
24 0 18	Levi Watson
38 7 4	Catherine Boyle
68 7 2	Kimberly Duong
42 8 30	Timmy Reeves
44 7 9	Marilyn Reddick
24 6 24	Ken Jones
42 8 12	Eileen Barber
57 5 25	William Mitchell
74 4 21	Germaine Bennett
24 7 19	Jack Thompson
28 8 15	Hsiu Payne
60 11 22	Joe Stokes
60 8 30	Samual Wilkins
59 9 17	Raymond Lee
52 5 1	Kevin Morgan
58 1 6	Wilson Cooper
73 0 21	Irene Horowitz
72 6 30	Lindsey Rhodes
79 0 17	Rafael Simmons
13 10 27	Alejandro Ross
17 3 8	Kathy Sanchez
71 10 27	Laura Ingram
49 2 23	Aida Doyle
17 6 11	Gerard Wright
65 9 3	Laura Rogers
88 4 14	Kathleen Price
12 5 5	Inez Roland
19 3 11	Darrin Evans
28 4 24	Elvina Harris
60 8 23	Herma Richardson
45 5 25	Irene McDonald
39 9 1	Roger Flynn
66 5 0	Wanda Barth
23 9 28	Jorge Meyer
85 3 3	Roy Orosco
12 5 22	Clayton Brooks
61 3 7	Lillian Collins
20 4 7	Vera Mabry
19 1 6	Estelle Caraballo
15 11 11	Wilmer Dennis
68 9 4	Stasia Sullivan
84 11 9	Annie Harvey
73 3 14	Earl Williams
58 11 21	Alan Hamilton
69 11 16	Donald Simmons
33 3 17	Martin Flynn
57 5 9	Andrew Norman
43 11 30	Natalie Franklin
78 4 26	Howard Carr
81 2 21	Roger Lanham
19 5 23	Ernest Bryant
57 8 9	See Sherman
53 6 29	Ernest Bailey
53 10 1	Lynn Foster
39 10 18	Gregory Payne
71 11 7	Charles Porterfield
47 8 27	Amanda Hunt
11 1 5	Karrie Gray
71 11 1	Dwayne McDaniel
29 3 8	Wanda Barrett
17 10 24	Patricia George
88 10 22	Lindsey George
12 3 9	Karen Mabry
48 7 16	Rosie Barnes
62 10 21	Samual Huddleston
62 3 21	Kevin Dennis
44 1 2	Alma Bell
86 1 23	Alice Pulliam
41 3 11	Maria Perry
74 11 14	Mildred Martinez
8 1 7	Eugene Porterfield
28 1 20	Susan Horan
79 9 20	Diane Barnes
73 7 8	Patti Wright
39 3 28	Josphine Hines
68 9 1	Marshall Vaughn
87 7 20	Sarah Horowitz
32 1 22	Nancy Jones
78 7 29	Marjorie Barrett
57 9 8	Joanne Bowen
75 1 16	Shani Fortune
57 2 30	Terry Reyes
74 1 18	Patricia Perez
8 7 23	Alice Moore
83 6 10	Charlene Collins
34 8 14	Salvador Clark
85 2 24	Brian Ross
42 10 5	Timothy Clark
39 11 16	Joanne Price
84 0 6	Susan Porterfield
79 2 5	Maryalice Hindman
66 1 12	Sarah Campbell
30 4 23	Marion Hamilton
44 3 1	Laura Vargas
60 7 21	Samual Aguilar
43 5 19	Raymond Alvarado
27 11 15	Lillian Alexander
75 11 0	Vera Torres
43 4 21	Zachary Brockman
78 4 3	Erica Wheeler
63 10 6	Barbara Flores
68 5 19	Terrell Reid
21 4 1	Martha Willis
39 6 26	Marilyn Fleming
55 5 10	Jason Barnes
31 0 4	Rose Price
34 1 28	Michael Collins
80 8 6	Estelle Cox
47 3 15	Christine Bell
24 0 30	Rose Baldwin
78 4 25	Cecil Harrington
37 6 5	Clarence Clark
66 2 29	Val Sullivan
19 11 20	Deborah Mitchell
77 0 8	Kasie Campbell
24 1 26	Marjorie Wilson
45 0 13	Martin Howard
81 10 21	Levi Shuman
42 3 28	Karrie Reddick
29 9 12	Alma Walker
23 1 12	Barbara Alvarado
9 2 8	Jason Harrison
14 8 3	Michael Brockman
17 1 28	Earnest Meyer
60 10 27	Karrie Scott
12 4 5	Patti Norman
64 3 19	Jackeline Russell
49 0 15	Sharon Kelly
38 5 15	Deborah Carr
85 6 25	Earl White
69 10 7	Kim Smith
28 5 26	Roy Phillips
86 4 17	Melissa Franklin
25 5 3	Deborah Bennett
88 10 12	Pamala Reddick
77 1 10	Elvina Gracia
89 0 24	Carley Caraballo
50 9 17	Darrin Yoon
59 10 6	Helen Harris
31 11 18	Maria Cook
11 4 3	Elijah Bennett
13 6 11	Walter Goodrich
44 6 0	Kevin Hudson
72 7 28	Wanda Young
27 0 4	Jason Powell
45 5 27	Eugenia Morgan
15 2 11	Gary Long
33 8 18	Wade Collins
25 3 14	Timmy Griffin
44 3 12	Tammy Campbell
52 9 14	Aida Sterling
21 10 7	Benjamin Flaherty
52 0 6	Mildred Flaherty
56 1 12	Kelly Young
36 8 10	Norman Hudson
21 11 21	Rafael Jones
16 1 8	Antoinette Hughes
36 8 11	Jane Wright
78 5 26	Krissy Graves
43 3 14	Pamala Carter
30 7 1	Jackeline Jones
41 5 19	Benjamin Taylor
56 3 19	Jonathan Brooks
10 7 15	Terrell Robinson
35 9 3	Anya Barlow
48 5 20	Janice Grantham
13 11 20	Jane McDonald
34 9 12	Gordon Rogers
16 3 6	Carley Roberts
63 4 1	See Parker
27 11 16	Clark Huddleston
38 7 8	Nicholas Davis
22 10 21	Sherri Sullivan
78 9 21	Delaine Norman
27 11 25	Jorge Lamb
13 2 6	Denise Bennett
88 9 1	Barbara Allen
40 5 11	Marie Vaughn
66 9 15	Sophia Bowen
15 4 23	Brandon Carr
40 10 8	Joe Morgan
83 7 7	See Bennett
64 6 15	Maddie Martin
61 11 17	Rachel Walker
66 9 21	Nicholas Horan
11 2 24	Karrie Anderson
53 10 6	Sherri Knight
19 8 4	Collen Hudson
25 3 30	Rosie Davis
12 2 28	Marshall Turner
83 2 12	Antoinette Thomas
16 2 15	Niki Knight
78 2 14	Eileen Walker
21 9 20	Jonathan Mitchell
21 0 22	Charles Seymore
85 5 19	Andres Grantham
78 2 17	Josphine Moore
62 7 1	Eugenia Hindman
29 5 11	Christine Baker
86 4 16	Johnathan Flaherty
26 6 9	Karen Hubbard
34 2 0	Kelly Grantham
32 3 28	Ramiro Huddleston
8 0 4	Laurence Olvera
53 10 11	Zada Freeman
28 5 9	Joanne McDonald
80 9 23	Ronald Young
20 11 10	Norman Roberts
33 9 29	Marshall Morris
74 1 15	Heidi Garcia
81 10 16	Josphine Morris
73 10 6	Glennis Garcia
29 10 1	Eloise Seymore
10 11 28	William Evans
19 6 9	Earnest Anderson
66 10 3	Rosie Harrington
21 9 18	Calvin Humphrey
54 0 12	Vera Hines
10 2 0	Earl Smith
47 4 3	Lindsey Barlow
31 1 1	Alma Benton
58 7 20	Robin Harris
60 6 22	Anya Garcia
88 10 22	Anna Fenton
64 10 19	Arthur Barrett
43 8 3	Clayton Perez
68 3 28	Norman Rodriguez
58 4 20	Claudine Simmons
16 3 24	Bobby Rhodes
25 6 26	Maryalice Gray
76 5 26	Zachary Coleman
8 5 30	Lynn Robinson
82 0 0	Gerard Rhodes
49 5 21	Angel Hughes
18 8 17	Andres Norman
20 10 9	Wade Torres
27 1 1	Andrew Griffin
12 5 8	Ronald Maier
61 10 2	Darrin Fleming
85 6 15	Krissy Grantham
35 1 19	Andre Horowitz
84 3 27	Annie Maldonado
72 11 19	Niki Davis
20 11 5	Steve Tate
26 11 18	Luz Archer
41 4 1	Nancy Orosco
87 6 12	Gerard Murphy
51 1 6	Edward Campbell
88 8 1	Pat Miller
19 4 12	Terence Murphy
46 7 13	Devin Ball
61 10 28	Fred Orosco
64 3 2	Delaine Thomas
75 4 30	Santiago Duong
68 9 3	Pamela Dunn
26 4 18	Chris Fleming
21 0 5	Lucia Wilkins
20 6 21	Pat Butler
89 10 21	Lindsay Foster
74 2 30	Carl Brown
32 3 25	Rebecca Stokes
33 0 16	Grace Young
79 2 17	Michael Townsend
60 1 2	Oretha Sullivan
78 9 7	Joshua Harris
72 0 19	Ronald Miller
66 5 19	Jane Ruiz
48 0 8	Zachary Mccune
53 7 20	Erica Banks
66 6 9	Wilmer Kelly
84 3 0	Niki Boyle
59 9 28	Michael Wood
50 1 1	Julie Henderson
64 10 4	Terence Reddick
66 0 14	William Lamb
35 1 0	Julie Taylor
60 9 9	David Maldonado
22 4 15	Howard Williams
60 11 22	Johnny Lopez
20 11 8	Ashley Taylor
89 3 18	Robin Walters
43 6 26	Eileen Kelly
47 5 1	Ernest Sterling
58 1 14	Jane Vaughn
38 1 10	Timmy Holloway
55 1 5	Collen Morgan
58 6 15	Dwayne Harrington
45 3 7	Estelle Tate
75 6 22	Zada Fenton
52 5 16	Anna Neal
38 3 18	Timothy Wheeler
30 3 19	Anna Roland
20 9 18	Karrie Flynn
29 7 25	Jane Coleman
90 6 22	Shani Roland
12 0 14	Darrin Flowers
44 7 25	Marion Bailey
26 9 16	Shani Mabry
83 10 8	Shani Moore
79 4 19	Ryan Baker
84 3 25	Zada Lane
82 3 21	Randee Vega
89 11 15	Katherine Archer
46 9 16	Brandon Porterfield
68 11 9	Deborah Nelson
34 1 4	Treva Holloway
83 5 2	Erica Harrison
69 3 26	Dawne Evans
12 8 22	Antoinette Garcia
8 5 0	Felipe Martinez
13 3 24	Stephenie Goodrich
28 2 3	Andrea Washington
9 11 7	Glennis Lamb
51 5 16	Norman Carter
52 6 6	Dorothy Martin
67 7 14	Tracy Kelly
74 4 29	Wilmer Morgan
41 1 26	Germaine Wilkins
81 10 28	Anna Barrett
60 10 16	Karen Barnes
73 2 1	Lila Orosco
38 3 12	Jeni Bennett
47 5 24	Maria Drake
21 4 1	Edward Doyle
86 1 3	Kenneth Flaherty
89 6 19	Jennifer Roberts
23 8 7	Inez Moore
56 10 8	William Dean
